"GOLBARU","GOL","KDGOL","MK","GPO","T_TETAP","B_PERSH","B_PRIB","A_PERSH","A_PRIB","PIP_PERS","PIP_PRIB",
"0803","IID","08","03","2162000","720000","48233","41166","24795","10923","48233","41166",
"0804","IID","08","04","2203000","734000","49467","42220","25430","11203","49467","42220",
"0805","IID","08","05","2244000","747000","50702","43273","26065","11482","50702","43273",
"0806","IID","08","06","2304000","767000","51936","44327","26700","11762","51936","44327",
"0807","IID","08","07","2364000","787000","53171","45381","27334","12042","53171","45381",
"0808","IID","08","08","2424000","807000","54406","46434","27969","12321","54406","46434",
"0809","IID","08","09","2484000","827000","55640","47488","28604","12601","55640","47488",
"0810","IID","08","10","2543000","848000","56875","48542","29238","12880","56875","48542",
"0811","IID","08","11","2594000","864000","58110","49596","29873","13160","58110","49596",
"0812","IID","08","12","2643000","881000","59344","50649","30508","13440","59344","50649",
