"KodeUnit","Tanggal","NoBukti","NoInput","KodeBudidaya","KodeAfdeling","Norek","KodeBarang","Netral","kdblok","KodeUnsur","Uraian","Jml_fisik","Debet","Kredit","Aplikasi",
"13","31-12-2016 00:00:00","GJI201612V-10104","","02","12","602190104","","0200","","G","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","0","635557","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10105","","02","12","601190105","","0200","","G","Tunj.Dapenbun Bbn.Persh. Bulan : 12-2016","0","138751","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10105","","02","12","602190105","","0200","","G","Tunj.Dapenbun Bbn.Persh. Bulan : 12-2016","0","158743","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10109","","02","12","602010000","","0200","","G","Lain-Lain Bulan : 12-2016","0","2177","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10109","","02","12","602020100","","0200","","G","Lain-Lain Bulan : 12-2016","0","744","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10203","","02","12","601190113","","0200","","G","Tunjangan Jabatan Bulan : 12-2016","0","119000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10203","","02","12","602190113","","0200","","G","Tunjangan Jabatan Bulan : 12-2016","0","119000","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10301","","02","12","154021200","","","","G","Potongan Jamsostek & BPJS Bulan : 12-2016","0","2995939","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10302","","02","12","154021200","","","","G","Potongan Dapenbun Bulan : 12-2016","0","551401","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-10304","","02","12","154021200","","","","G","Potongan Koperasi Bulan : 12-2016","0","9191452","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","12","601020100","","0200","","G","Upah Harian Bulan : 12-2016","0","1147354","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","12","601050103","","0200","","G","Upah Harian Bulan : 12-2016","0,38","616549","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","12","601050104","","0200","","G","Upah Harian Bulan : 12-2016","8,32","2290522","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","12","602020100","","0200","","G","Upah Harian Bulan : 12-2016","0","1127230","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","12","602030100","","0205","","G","Upah Harian Bulan : 12-2016","17,445","571838","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","12","602030101","","0200","","G","Upah Harian Bulan : 12-2016","92329","57404942","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","12","602030102","","0200","","G","Upah Harian Bulan : 12-2016","36729,0002","12172369","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20101","","02","12","602140300","","0200","","G","Upah Harian Bulan : 12-2016","0","2158135","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","12","601020100","","0200","","G","Upah Sosial Bulan : 12-2016","0","220645","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","12","601050104","","0200","","G","Upah Sosial Bulan : 12-2016","0","440485","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","12","602020100","","0200","","G","Upah Sosial Bulan : 12-2016","0","216775","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","12","602030101","","0200","","G","Upah Sosial Bulan : 12-2016","0","10993609","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","12","602030102","","0200","","G","Upah Sosial Bulan : 12-2016","0","4156511","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20103","","02","12","602140300","","0200","","G","Upah Sosial Bulan : 12-2016","0","572872","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20105","","02","12","601190204","","0200","","G","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","0","535690","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20105","","02","12","602190204","","0200","","G","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","0","5819214","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20108","","02","12","154031200","","","","G","Dapenbun Beban Pribadi Bulan : 12-2016","0","1275317","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20108","","02","12","154031200","","","","G","PPIP Beban Pribadi Bulan : 12-2016","0","17900","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20110","","02","12","602030101","","0200","","G","Premi/Lembur Bulan :12-2016","0","69505","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20116","","02","12","405010100","","","","G","BPJS Kesehatan Beban Perusahaan Bulan : 12-2016","0","6463059","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20301","","02","12","154031200","","","","G","Potongan Jamsostek & BPJS Bulan : 12-2016","0","8879628","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20302","","02","12","154031200","","","","G","Pot.Dapenbun Bbn.Perusahaan Bulan : 12-2016","0","1494292","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20302","","02","12","154031200","","","","G","Pot.PPIP Bbn.Perusahaan Bulan : 12-2016","0","20973","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20302","","02","12","601190205","","0200","","G","Tunj.Dapenbun Bbn.Perusahaan Bulan : 12-2016","0","132981","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20302","","02","12","602190205","","0200","","G","Tunj.Dapenbun Bbn.Perusahaan Bulan : 12-2016","0","1427599","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20302","","02","12","602190205","","0200","","G","Tunj.PPIP Bbn.Perusahaan Bulan : 12-2016","0","20973","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20303","","02","12","154031200","","","","G","Potongan Kebun Bulan :12-2016","0","6817","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20304","","02","12","154031200","","","","G","Potongan Koperasi Bulan :12-2016","0","36844651","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-20306","","02","12","154031200","","","","G","Potongan BPJS Kesehatan Bulan : 12-2016","0","7737448","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-30101","","02","12","601020100","","0200","","G","Upah Harian Bulan : 12-2016","0","122955","0","GUP",
"13","31-12-2016 00:00:00","GJI201612V-30101","","02","12","601020200","","0200","","G","Upah Harian Bulan : 12-2016","0","942655","0","GUP",
