"Tahun","KodeBarang","NamaBarang","Tr1","Tr2","Tr3","Tr4",
"2013","01501147","BAN BRIDGESTONE UK.235/75 R15 - 6PR DUELER A/T 689","1093950,00","0,00","0,00","0,00",
"2013","01501148","BAN BRIDGESTONE UK.265/70 R16 - 689","1529000,00","0,00","1618200,00","1612620,00",
"2013","01501149","BAN BRIDGESTONE UK.265/75 R16 - 673","1859000,00","0,00","0,00","1860000,00",
"2013","01501140","BAN BRIDGESTONE UK.195/65 15 B 250","990000,00","0,00","0,00","990000,00",
"2013","01501141","BAN BRIDGESTONE UK.195/70 14 B 250","883500,00","0,00","883500,00","0,00",
"2013","01501151","BAN BRIDGESTONE UK.27 X 8.5 14 673","1250000,00","1250000,00","0,00","0,00",
"2013","01501160","BAN BRIDGESTONE UK.750 X 16 - 14PR  HMG","1940400,00","1940400,00","1993320,00","1993320,00",
"2013","01600472","MESIN PETIK TEH MERK.OCHIAI","36500000,00","0,00","0,00","0,00",
"2013","01600471","MESIN PETIK TEH MERK.KAWASAKI","34800000,00","0,00","0,00","0,00",
"2013","01600943","MESIN SKIPING","29000000,00","0,00","0,00","0,00",
"2013","01600641","POLYBAG UK. 20CM X 35CM X 0.05MM","26500,00","0,00","0,00","0,00",
"2013","01600642","PLASTIK POLYBAG 12CM X 25CM X 0.04MM","26500,00","0,00","0,00","0,00",
"2013","01600643","PLASTIK POLYBAG 45CM X 30CM X 0.01MM","27500,00","0,00","0,00","0,00",
"2013","01600644","PLASTIK POLYBAG 38CM X 18CM X 0.01MM","27500,00","0,00","0,00","0,00",
"2013","01600645","PLASIK POLYBAG UK. 25CM X 12CM X 0.04MM","27500,00","0,00","0,00","0,00",
"2013","01600625","PLASTIK SUNGKUP U/PESEMAIAN","27000,00","0,00","0,00","0,00",
"2013","01600464","MANGKOK PLASTIK 500 CC","800,00","800,00","0,00","765,00",
"2013","01600353","HAND SPRAYER","620000,00","0,00","0,00","0,00",
"2013","00202721","APLIKATOR LET I SYSTEM","25740,00","0,00","0,00","0,00",
"2013","00202723","TABUNG GAS ETHYLENE","98000,00","0,00","0,00","0,00",
"2013","00900157","TANGKI LATEK KAPASITAS 3000 LITER","80000000,00","80000000,00","0,00","0,00",
"2013","00900158","TANGKI LATEK KAPASITAS 2000 LITER","40000000,00","0,00","0,00","0,00",
"2013","01402008","MESIN ITX","220000000,00","0,00","0,00","0,00",
"2013","01403299","MESIN ROTORVANE 15""","255000000,00","0,00","0,00","0,00",
"2013","01401651","ROLL CTC 8 1/4"" TPI 10","98000000,00","0,00","0,00","0,00",
"2013","01403300","ROLL CTC 8 1/4"" TPI 8","98000000,00","0,00","0,00","0,00",
"2013","01403301","ROLL CTC 13"" TPI 10","125000000,00","0,00","0,00","0,00",
"2013","01403302","AXIAL PLOW FAN WT","26000000,00","0,00","0,00","0,00",
"2013","00202220","TORDON","92400,00","0,00","0,00","117000,00",
"2013","00202322","GREEMI - G","7400,00","7400,00","0,00","0,00",
"2013","00202325","MITOL 20EC","112000,00","0,00","0,00","0,00",
"2013","01902097","BIBIT BUAH NAGA","7500,00","0,00","0,00","0,00",
"2013","01902218","BIJI PEPAYA VARIEATAS CALINA","0,00","0,00","300,00","0,00",
"2013","01902219","BIJI PEPAYA VARIEATAS MERAH DELIMA","0,00","0,00","300,00","0,00",
"2013","01902220","BIJI PEPAYA VARIEATAS CARMELITA","0,00","0,00","300,00","0,00",
"2013","00202324","CONASOL","0,00","0,00","135500,00","0,00",
"2013","01600949","PLASTIK POLYBAG UK. 14CM X 22CM X 0.01MM","0,00","0,00","220,00","0,00",
"2013","01600950","PLASTIK POLYBAG UK. 40CM X 50CM X 0.02MM","0,00","0,00","2350,00","0,00",
"2013","00201107","KIESERIT","0,00","0,00","3170,00","0,00",
"2013","00201150","NPK 27-6-13-3 +TE","0,00","0,00","6000,00","0,00",
"2013","00201154","KALNIBOR","0,00","0,00","6450,00","0,00",
"2013","01902222","BIJI LAMTORO","0,00","0,00","0,00","40000,00",
"2013","00201235","TRION","0,00","0,00","0,00","129000,00",
"2013","00201236","SRIDA","0,00","0,00","0,00","189000,00",
"2014","01200478","BOTTOM PALET","109000,00","110000,00","0,00","0,00",
"2014","00202106","RAMBO","46600,00","0,00","0,00","0,00",
"2014","00202112","SUPRA","71200,00","71000,00","71000,00","0,00",
"2014","00202104","GLIDAMIN 300AS/100SL","40600,00","44300,00","0,00","0,00",
"2014","00202220","TORDON","118000,00","117000,00","117000,00","0,00",
"2014","00202402","FURADAN","13000,00","0,00","13500,00","0,00",
"2014","00202211","MARSHALL 200 EC","118500,00","0,00","123500,00","0,00",
"2014","00202213","METINDO","127000,00","132500,00","132500,00","0,00",
"2014","00202216","POKSINDO","82000,00","87800,00","87800,00","0,00",
"2014","00202271","BIONIK 400 EC","66500,00","0,00","69500,00","0,00",
"2014","00202273","DECIS 25 EC","213000,00","0,00","0,00","0,00",
"2014","00202304","DITHANE","76500,00","76300,00","76300,00","0,00",
"2013","00302015","GEMUK SG","29545,00","29545,00","30625,00","30625,00",
"2014","00202302","COPCIDE 77 WP","159000,00","158000,00","158000,00","0,00",
"2013","01501187","BAN GOODYEAR UK.235/70  R15 - 6PR  WRANGLER  OBL","1281500,00","1281500,00","1281500,00","1281500,00",
"2013","01501188","BAN GOODYEAR UK.235/75  R15 - 6PR  WRANGLER ATL","1529500,00","1529500,00","1529500,00","1529500,00",
"2013","01501194","BAN GOODYEAR UK.30 X 9.50 R15 - 6PR","1619750,00","1619750,00","1619750,00","1619750,00",
