"kdjabatan","uraian",
"020303003","Pjs.Kaur Pengkajian Usaha",
"020303005","Kasubag Pengkajian Usaha",
"020303007","Pjs.Kasubag Pengkajian Usaha",
"020303010","Staf Pengkajian Usaha",
"020303015","Staf Subag Pengkajian Usaha",
"020303030","Kary Pengkajian Usaha",
"020304000","Kaur Research And Development (R & D)",
"020304005","Kasubag Research And Development (R & D",
"020304006","Pjs.Kasubag Research And Development (R&D)",
"020304010","Staf Research And Development (R & D)",
"010220100","Kaur Teknologi Informasi",
"082003000","Wakil Manajer Pemasaran",
"082004001","Pjs.Wakil Manajer Operasional",
"083001100","Kepala Administrasi",
"083001200","Staf Agrowisata",
"083001210","Karyawan Agrowisata",
"083001211","Pengemudi",
"083001212","Anggota Satpam",
"083001213","Pramubakti",
"083002301","Kary.Urs.Administrasi",
"084000000","MANAJER PETERNAKAN",
"084001000","Pjs.MANAJER PETERNAKAN",
"084001100","Pymt.MANAJER PETERNAKAN",
"084001200","Kaur Operasional",
"084001210","Pjs.Kaur Operasional",
"084001220","Pymt.Kaur Operasional",
"084001230","Staf Urs.Operasional",
"084001240","Kary.Urs.Operasional",
"084001300","Kaur Administrasi Umum",
"084001310","Pjs.Kaur Administrasi Umum",
"084001320","Pymt.Kaur Administrasi Umum",
"084001330","Staf Urs.Administrasi Umum",
"084001340","Kary.Urs.Administrasi Umum",
"085000000","ADMINISTRATUR ANTAN",
"085000001","pymt Administratur Antan",
"085000002","Pjs.Administratur Antan",
"085001000","Kepala Tanaman Antan",
"085002001","Pjs.Kepala Pabrik Antan",
"085003000","Pjs.Kepala Tanaman Antan",
"085100001","Sinder Kepala Antan",
"085100003","Pymt.Sinder Kepala Antan",
"085100004","Pymt.Kepala Tanaman Antan",
"085200001","Kepala Pengolahan Antan",
"085200002","Sinder Pabrik Antan",
"085200003","Asisten Sinder Pabrik Antan",
"085200004","Pymt.Sinder Pabrik Antan",
"085200005","Asisten Kepala Pengolahan Antan",
"085200006","Pymt.Kepala Pengolahan Antan",
"085200008","Pjs.Kepala Pengolahan Antan",
"085200009","Pjs.Kepala Pabrik Antan",
"085200200","Mandor Besar Quality Control Antan",
"085200201","Mandor Quality Control Antan",
"085200202","Karyawan Quality Control Antan",
"085200203","JTU Kalibarasi Antan",
"085200204","Pengendali Dokumen Antan",
"085209100","JTU.Kepala Pengolahan Antan",
"085209101","JTU.Pengolahan Pembantu Antan",
"085209102","JTU.Produksi Antan",
"085209201","Juru Timbang Pabrik Antan",
"085209202","Waker Pabrik Antan",
"085210100","Mandor Besar Pengolahan Antan",
"085210104","Mandor Pengolahan Antan",
"085210205","Karyawan Pengolahan Antan",
"085211113","Mandor Sortasi  Antan",
"085211122","Mandor Ngepak Antan",
"085211213","Karyawan Sortasi Antan",
"085211222","Karyawan Ngepak Antan",
"085212112","JTU.Analisa Antan",
"085212200","Karyawan Laboratorium Antan",
"085300001","Kepala Teknik & Pengolahan Antan",
"085300002","Sinder Teknik Antan",
"085300003","Asisten Sinder Teknologi/Teknik Antan",
"085300004","Pymt Sinder Teknik Antan",
"085300005","Asisten Kepala Teknik & Pengolahan Antan",
"085300006","Pymt Kepala Teknik & Pengolahan Antan",
"085300008","Pjs.Kepala Teknik & Pengolahan Antan",
"085300010","Asisten Kepala Teknik Antan",
"085300100","Kepala Teknik Antan",
"085300101","pymt Kepala Teknik Antan",
"085300102","Pjs.Asisten Kepala Teknik Antan",
"085300103","Pjs.Kepala Teknik Antan",
"085309100","JTU.Kepala Teknik Antan",
"085309101","JTU.Teknik Pembantu Antan",
"085319100","Mandor Besar Mesin Antan",
