"kdjabatan","uraian",
"030305004","Pjs.Kaur Kepatuhan & GCG",
"030306001","Kaur GCG dan MR",
"030306002","Pjs.Kaur GCG dan MR",
"030306003","Pymt.Kaur GCG dan MR",
"030306010","Staf Urs.GCG & MR",
"030306020","Kary.Urs.GCG & MR",
"030307000","Staf Setara Kaur Sekper",
"040100000","KEPALA BAGIAN TANAMAN",
"040101000","Staf Setara Kabag Bagian Tanaman",
"040101001","Kaur Proteksi & Pemupukan",
"040101002","Staf Proteksi & Pemupukan",
"040101003","Staf Setara Kaur",
"040101100","Karyawan Urs.Proteksi & Pemupukan",
"040102001","Kaur Panen K3SG",
"040102002","Staf Panen K3SG",
"040102100","Karyawan Urs.Panen K3SG",
"040103001","Kaur Panen Teh & Kina",
"040103002","Staf Panen Teh & Kina",
"040103100","Karyawan Urs.Panen Teh & Kina",
"040104001","Kaur Pemel.Tan. Teh & Kina",
"040104002","Staf Pemel.Tan.Teh & Kina",
"040104100","Karyawan Urs.Pemel.Tan.Teh & Kina",
"040105001","Kepala Urusan Pemel.Tan.K3SG",
"040105002","Staf Pemel.Tan.K3SG",
"040105100","Karyawan Urusan Pemel.Tan.K3SG",
"040106100","Kaur Tanaman Teh",
"040106101","Pjs.Kaur Tanaman Teh",
"040106102","Pymt.Kaur Tanaman Teh",
"040106103","Kasubag Teh",
"040106110","Staf Urs Tanaman Teh",
"040106115","Staf Subag Teh",
"040106120","Kary.Urs Tanaman Teh",
"040106125","Kary.Subag Teh",
"040106200","Kaur Tanaman Karet",
"040106201","Pjs.Kaur Tanaman Karet",
"040106202","Pymt.Kaur Tanaman Karet",
"040106204","Kasubag Karet",
"040106205","Pjs.Kasubag Karet",
"040106210","Staf Urs Tanaman Karet",
"040106215","Staf Subag Karet",
"040106220","Kary.Urs Tanaman Karet",
"040106300","Kaur Tanaman Sawit",
"040106301","Pjs.Kaur Tanaman Sawit",
"040106302","Pymt.Kaur Tanaman Sawit",
"040106303","Kasubag Sawit",
"040106310","Staf Urs.Tanaman Sawit",
"040106315","Staf Subag Sawit",
"040106320","Kary.Urs.Tanaman Sawit",
"040106321","Kary.Subag Sawit",
"040106400","Kaur Aneka Tanaman",
"040106401","Pjs.Kaur Aneka Tanaman",
"040106402","Pymt.Kaur Aneka Tanaman",
"040106403","Kasubag Aneka Tanaman",
"040106410","Staf Urs.Aneka Tanaman",
"040106415","Staf Subag Aneka Tanaman",
"040106420","Kary.Urs.Aneka Tanaman",
"040106421","Kary.Subag Aneka Tanaman",
"040106500","Kaur Administrasi Tanaman",
"040106501","Pjs.Kaur Administrasi Tanaman",
"040106502","Pymt.Kaur Administrasi Tanaman",
"040106510","Staf Urs.Administrasi Tanaman",
"040106520","Kary.Urs.Administrasi Tanaman",
"040110000","KEPALA BAGIAN TANAMAN TEH",
"040111001","Kaur Pemel. & Panen Tanaman Teh",
"040111002","Staf Urs.Pemel.& Panen Tanaman Teh",
"040111003","Kary.Urs.Pemel.& Panen Tan.Teh",
"040112001","Kaur Investasi Tanaman Teh",
"040112002","Staf Urs.Investasi Tanaman Teh",
"040112003","Kary.Urs.Investasi Tan.Teh",
"040120000","KEPALA BAGIAN TEKNIK & PENGOL.TEH",
"040121001","Kaur Teknik Teh",
"040121002","Staf Urs.Teknik Teh",
"040121003","Kary.Urs.Teknik Teh",
"040122001","Kaur Pengendalian Mutu Teh",
"040122002","Staf Urs.Pengendalian Mutu Teh",
"040122003","Kary.Urs.Pengendalian Mutu Teh",
"040123001","Kaur Pengolahan Teh",
"040123002","Staf Urs.Pengolahan Teh",
"040123003","Kary.Urs.Pengolahan Teh",
"040124000","Pjs.Kaur Teknik Teh",
"040130000","KEPALA BAGIAN PEMASARAN TEH",
"040130001","Pjs.KEPALA BAGIAN PEMASARAN TEH",
"040131001","Kaur Informasi Pasar & Penjualan Teh",
"040131002","Staf Urs.Informasi Pasar & Penjualan Teh",
"040131003","Kary.Urs.Informasi Pasar & Penjualan Teh",
"040132001","Kaur Persediaan Teh",
"040132002","Staf Urs.Persediaan Teh",
"040132003","Kary.Urs.Persediaan Teh",
"040200000","KEPALA BAGIAN TEKNOLOGI",
"040201000","KEPALA BAGIAN TEKNIK DAN PENGOLAHAN",
"040201001","Kaur Pengendalian Mutu Teh",
"040201002","Staf Pengendalian Mutu Teh",
"040201100","Kary.Pengendalian Mutu Teh",
"040201200","Kaur Teknik",
"040201201","Pjs.Kaur Teknik",
"040201202","Pymt.Kaur Teknik",
"040201203","Kasubag Teknik",
"040201204","Pjs. Kasubag Teknik",
"040201210","Staf Urusan Teknik",
"040201215","Staf Subag Teknik",
"040201220","Kary.Urusan Teknik",
"040201225","Kary.Subag Teknik",
"040201300","Kaur Pengolahan",
"040201301","Pjs.Kaur Pengolahan",
"040201302","Pymt.Kaur Pengolahan",
"040201305","Kasubag Pengolahan",
"040201310","Staf Urusan Pengolahan",
"040201315","Staf Subag Pengolahan",
"040201320","Kary.Urusan Pengolahan",
"040201321","Kary.Subag Pengolahan",
"040201400","Kaur Pengendalian Mutu dan Amdal",
"040201401","Pjs.Kaur Pengendalian Mutu dan Amdal",
"040201402","Pymt.Kaur Pengendalian Mutu dan Amdal",
"040201410","Staf Urs.Pengendalian Mutu dan Amdal",
"040201420","Kary.Urs.Pengendalian Mutu dan Amdal",
"040201500","Kaur Sertifikasi",
"040201505","Kasubag Sertifikasi",
"040201510","Staf Urs Sertifikasi",
"040201515","Staf Subag Sertifikasi",
"040201520","Kary.Urs Sertifikasi",
"040202001","Kaur Teknologi K3SG",
"040202002","Staf Teknologi K3SG",
"040202100","Kary.Urs.Teknologi K3SG",
"040203001","Kaur Teknologi Teh & Kina",
"040203002","Staf Teknologi Teh & Kina",
"040203100","Kary.Urs.Teknologi Teh & Kina",
"040204002","Staf Urs Quality Control",
"040204100","Kaur Quality Control",
"040205000","KEPALA BAGIAN IHT",
"040205100","Sinder TUK",
"040205101","Asisten Sinder TUK.",
"040205102","Staf IHT",
"040205103","Petugas PIK",
"040205104","Petugas Tabin",
"040205105","Pembantu Tabin",
"040205106","JTU.TUP",
"040205107","Operator Komputer",
"040205108","Petugas Kas",
"040205109","JTU.Kasir",
"040205110","Petugas Gudang",
"040205111","JTU.Barang Bahan",
"040205112","JTU.Gudang Produksi",
"040205113","Pelayan Gudang",
"040205114","Petugas Umum",
"040205115","JTU.Umum",
"040205116","Keamanan/Satpam",
"040205117","Pramubakti",
"040205118","Petugas Pemasaran (Penjualan/Pembelian)",
"040205201","Petugas Keuangan/Pengadaan",
"040205202","JTU.Pemasaran (Penjualan/Pembelian)",
"040205203","JTU.Pengadaan Barang/Jasa",
"040205204","Kasir",
"040205300","Sinder Teknik/Teknologi",
"040205301","Mandor Besar Produksi",
"040205302","Mandor Teh Celup",
"040205303","Mandor Teh Curah",
"040205304","Kary.Urs.Produksi",
"040205305","Mandor Besar Teknik",
"040205306","Mandor Teknik",
"040205307","Petugas Uji Mutu",
"040205308","Kary.Urs.Teknik",
"040205309","Pengemudi",
"040205310","Petugas Uji Mutu",
"040205311","JTU Teknik/Pengolahan",
"040210000","KEPALA BAGIAN TANAMAN NON TEH",
"040211001","Kaur Pemel. & Panen Tan.Non Teh",
"040211002","Staf Urs.Pemel.& Panen Tan.Non Teh",
"040211003","Kary.Urs.Pemel.& Panen Tan.Non Teh",
"040212001","Kaur Investasi Tan.Non Teh",
"040212002","Staf Urs.Investasi Tan.Non Teh",
"040212003","Kary.Urs.Investasi Tan.Non Teh",
"040220000","KEPALA BAGIAN TEKNIK & PENGOL.NON TEH",
"040221001","Kaur Teknik Non Teh",
"040221002","Staf Urs.Teknik Non Teh",
"040221003","Kary.Urs.Teknik Non Teh",
"040221004","Pjs.Kaur Teknik Non Teh",
"040222001","Kaur Pengolahan Non Teh",
"040222002","Staf Urs.Pengolahan Non Teh",
"040222003","Kary.Urs.Pengolahan Non Teh",
"040230000","KEPALA BAGIAN PEMASARAN NON TEH",
"040231001","Kaur Informasi Pasar & Penjualan Non Teh",
"040231002","Staf Urs.Informasi Pasar & Penjualan Non Teh",
"040231003","Kary.Urs.Informasi & Penjualan Non Teh",
"040231004","Pjs.Kaur Informasi Pasar & Penjualan Non Teh",
"040232001","Kaur Persediaan Non Teh",
"040232002","Staf Urs.Persediaan Non Teh",
"040232003","Kary.Urs.Persediaan Non Teh",
"040300000","Kepala Bagian Teknik",
"040301001","Kaur Teknik Mesin/Instalasi Listrik",
"040301002","Staf Urs.Teknik Mesin/Instalasi Listrik",
"040301100","Karyawan Urs.Mesin/instalasi Listrik",
"040302001","Kaur Teknik Sipil & Transport",
"040302002","Staf Urs.Teknik Sipil & Transport",
"040302100","Karyawan Urs.Sipil & Transoprt",
"051103600","Asisten Kepala Produksi",
"051103610","Asisten Produksi",
"051103620","Karyawan Produksi",
"051103700","Asisten Kepala Umum",
"051103710","Asisten Umum",
"051103720","Karyawan Umum",
"051103800","Asisten Kepala Sarana & Prasrana",
"051103810","Asisten Sarana & Prasrana",
"051103820","Karyawan Sarana & Prasrana",
"051103900","Asisten Kepala Supply Chain",
"051103910","Asisten Supply Chain",
"051103920","Karyawan Supply Chain",
"060000000","ADMINISTRATUR",
"060000001","pymt Administratur",
"060000002","Pjs.Administratur",
"060000003","MANAJER",
"060000004","Pjs.MANAJER",
"060001000","Kepala Tanaman",
"060001001","Asisten Kepala",
"060001002","Pjs.Asisten Kepala",
"060002000","Kepala Pabrik (Sawit)",
"060002001","Pjs.Kepala Pabrik",
"060003000","Pjs.Kepala Tanaman",
"060100001","Sinder Kepala",
"060100002","Masinis Kepala",
"060100003","Pymt.Sinder Kepala",
"060100004","Pymt.Kepala Tanaman",
"060200001","Kepala Pengolahan",
"060200002","Sinder Pabrik",
"060200003","Asisten Sinder Pabrik",
"060200004","Pymt.Sinder Pabrik",
"060200005","Asisten Kepala Pengolahan",
"060200006","Pymt.Kepala Pengolahan",
"060200007","Asisten Sub Pengolahan",
"060200008","Pjs.Kepala Pengolahan",
"060200009","Pjs.Kepala Pabrik",
"060200010","Staf Kebun Bidang Pengolahan",
"060200011","Asisten Pengolahan",
"060200012","Pjs.Asisten Sub Pengolahan",
"060200200","Mandor Besar Quality Control",
"060200201","JTU Kalibrasi",
"060200202","Pengendalian Dokumen",
"060200203","JTU Monitoring Proses",
"060200204","Karyawan Quality Control",
"060209100","JTU.Kepala Pabrik",
"060209101","JTU.Pengolahan Pembantu",
"060209102","JTU.Produksi",
"060209103","Petugas SNI/Pengendalian Dokumen",
"060209104","Karyawan SNI/Pengendali Dokumen",
"060209201","Juru Timbang Pabrik",
"060209202","Waker Pabrik",
"060210100","Mandor Besar Basah",
"060210104","Mandor Meber",
"060210105","Mandor Pelayuan",
"060210106","Mandor Turun Layu",
"060210107","Mandor Giling & Oksidasi Enzimatis",
"060210108","Mandor Pengeringan",
"060210109","Mandor Kayu Bakar",
"060210204","Karyawan Meber",
"060210205","Karyawan Pelayuan",
"060210206","Karyawan Turun Layu",
"060210207","Karyawan Giling & Oksidasi Enzimatis",
"060210208","Karyawan Pengeringan",
"060210209","Karyawan Kayu Bakar",
"060211100","Mandor Besar Kering",
"060211112","Mandor Kering",
"060211113","Mandor Sortasi Teh/PC/RSS/Sawit",
"060211122","Mandor Ngepak",
"060211199","Petugas Uji Mutu",
"060211213","Karyawan Sortasi Teh/Karet/Sawit",
"060211222","Karyawan Ngepak",
"060212100","Mandor Besar/Kepala Lab/Pet.Uji Mutu",
"060212110","Mandor Laboratorium",
"060212111","JTU.Timbang",
"060212112","JTU.Analisa",
"060212113","Mandor Sortasi",
"060212200","Karyawan Laboratorium",
"060212201","Karyawan Seduh",
"060213100","Mandor Besar Pengolahan Latek Pekat",
"060213110","Mandor BO. Latek Pekat/PC/RSS",
"060213111","Mandor Giling Latek Pekat/PC/RSS",
"060213210","Karyawan BO.Latek Pekat/PC/RSS",
"060213211","Karyawan Giling Latek Pekat/PC/RSS",
"060214100","Mandor Besar Pengolahan PC/RSS",
"060214110","Mandor BO. Latek Pekat/PC/RSS",
"060214111","Mandor Giling Latek Pekat/PC/RSS",
"060214112","Mandor Kamar Asap PC/RSS",
"060214113","Mandor Sortasi Teh/PC/RSS/Sawit",
"060214114","Mandor Pengolahan Basah PC/RSS",
"060214210","Karyawan BO.Latek Pekat/PC/RSS",
"060214211","Karyawan Giling Latek Pekat/PC/RSS",
"060214212","Karyawan Kamar Asap PC/RSS",
"060214213","Karyawan Sortasi Teh/Karet/Sawit",
"060214214","Karyawan Pengolahan Basah PC/RSS",
"060215100","Mandor Besar Pengolahan Crumb Rubber",
"060215108","Mandor Kering Crumb Rubber",
"060215114","Mandor Pengolahan Basah Crumb Rubber",
"060215214","Karyawan Pengolahan Basah Crumb Rubber",
"060215218","Karyawan Kering Crumb Rubber/Press",
"060216100","Mandor Besar Shift",
"060216110","Mandor Shift",
"060216115","Mandor Tandan Kosong Kelapa Sawit",
"060216116","Mandor Loading Ramp",
"060216117","Mandor Rebusan",
"060216118","Mandor Press",
"060216119","Mandor Pelepas Buah Sawit",
"060216120","Mandor Klarifikasi/Minyak",
"060216121","Mandor Boiller",
"060216122","Mandor Pembangkitan",
"060216215","Karyawan Tandan Kosong Kelapa Sawit",
"060216216","Karyawan Loading Ramp",
"060216217","Karyawan Rebusan",
"060216218","Karyawan Kering Crumb Rubber/Press",
"060216219","Karyawan Pelepas Buah Sawit",
"060216220","Karyawan Klarifikasi/Minyak",
"060216221","Karyawan Boiller",
"060216222","Karyawan Press",
"060216223","Karyawan Dorong Lori",
"060217100","Mandor Besar Sortasi",
"060217113","Mandor Sortasi Teh/PC/RSS/Sawit",
"060217213","Karyawan Sortasi Teh/Karet/Sawit",
"060218100","Mandor Besar Pengolahan TPC",
"060218110","Mandor BO.TPC",
"060218111","Mandor Giling TPC",
"060218112","Mandor Pengeringan",
"060218200","Mandor Besar Pengolahan Sawit",
"060218210","Mandor Pengolahan Sawit",
"060218215","Karyawan Pengolahan Sawit",
"060300001","Kepala Teknik & Pengolahan",
"060300002","Sinder Teknik",
"060300003","Asisten Sinder Teknologi/Teknik",
"060300004","Pymt Sinder Teknik",
"060300005","Asisten Kepala Teknik & Pengolahan",
"060300006","Pymt Kepala Teknik & Pengolahan",
"060300008","Pjs.Kepala Teknik & Pengolahan",
"060300010","Asisten Kepala Teknik",
"060300012","Pjs.Asisten Kepala Teknik",
"060300013","Asisten Sub Teknik",
"060300014","Pjs.Sub Teknik",
"060300015","Asisten Sub Teknik dan Pengolahan",
"060300016","Pjs.Asisten Sub Teknik dan Pengolahan",
"060300100","Kepala Teknik",
"060300101","pymt Kepala Teknik",
"060300102","Pjs.Asisten Kepala Teknik",
"060300103","Pjs.Kepala Teknik",
"060300104","Asisten Teknik",
"060300105","Pjs.Asisten Teknik",
"060300106","Asisten Teknik dan Pengolahan",
"060300110","Staf Kebun Bidang Teknik",
"060300115","Staf Kebun Bidang Teknik & Pengolahan",
"060309100","JTU.Kepala Teknik",
"060309101","JTU.Teknik Pembantu",
"060319100","Mandor Besar Mesin",
"060319123","Mandor Mesin/Olimen",
"060319124","Tukang Asah Roll",
"060319223","Tukang Mesin/Olimen",
"060320100","Mandor Besar Teknik Umum, Trans. & Instalasi",
"060320120","Mandor Reparasi dan Pemel.Pabrik",
"060320121","Mandor Power House/Boiler",
"060320122","Mandor Perkakas",
"060320123","Mandor Instalasi dan Konstruksi",
"060320125","Mandor Bengkel Umum/Pembangkitan",
"060320126","Mandor Instalasi/listrik",
"060320127","Mandor Pool Kendaraan",
"060320128","Montir",
"060320129","Pengemudi",
"060320130","Operator Kendaraan Alat Berat",
