"KodeUnit","tanggal","NoInput","NoBukti","Keterangan","NoUrut","kodeafd","kodebud","norek","netral","kdblok","thntnm","uraian","unsur","DK","nilai","JmlFisik","NamaUser","TglInput","KMK",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","2013","","","PUPUK DAUN","","K","9734462,87","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300020102","2014","","","PUPUK DAUN","","K","1112419,49","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","10","02","300020102","","","","PUPUK DAUN","","K","49374883,5543598","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","10","02","300020102","1930","","","PUPUK DAUN","","K","436792,4","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","1971","","","BAHAN BANGUNAN","","K","367500","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","2011","","","BAHAN BANGUNAN","","K","41946789","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","2012","","","BAHAN BANGUNAN","","K","144054391,42","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","2013","","","BAHAN BANGUNAN","","K","178065329,01","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","2014","","","BAHAN BANGUNAN","","K","1559070","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D1368YV","","","BAHAN BANGUNAN","","K","2435250","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D1462EE","","","BAHAN BANGUNAN","","K","160005","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D4821ZAC","","","BAHAN BANGUNAN","","K","336000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D8110BW","","","BAHAN BANGUNAN","","K","453080,23","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D8207YP","","","BAHAN BANGUNAN","","K","174300","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D8285CP","","","BAHAN BANGUNAN","","K","54297,52","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D8356DI","","","BAHAN BANGUNAN","","K","4655437,58","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D8529CV","","","BAHAN BANGUNAN","","K","559365,93","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D8537DI","","","BAHAN BANGUNAN","","K","186446,28","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D8593YU","","","BAHAN BANGUNAN","","K","5146780,23","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D8615EN","","","BAHAN BANGUNAN","","K","9053931,96","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D8616EN","","","BAHAN BANGUNAN","","K","14011781,96","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D8619BY","","","BAHAN BANGUNAN","","K","201900","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300050000","D8825VK","","","BAHAN BANGUNAN","","K","505068,44","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","10","02","300050000","","","","BAHAN BANGUNAN","","K","6902928,04","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","11","02","300050000","","","","BAHAN BANGUNAN","","K","8524166,87878788","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","300050000","","","","BAHAN BANGUNAN","","K","8288064,29166667","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","14","02","300050000","","","","BAHAN BANGUNAN","","K","9169994,75294118","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","20","02","300050000","","","","BAHAN BANGUNAN","","K","6926108","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","20","02","300050000","0200","","","BAHAN BANGUNAN","","K","3641000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","21","02","300050000","","","","BAHAN BANGUNAN","","K","6575287,68566075","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","21","02","300050000","0200","","","BAHAN BANGUNAN","","K","1534750","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","30","02","300050000","","","","BAHAN BANGUNAN","","K","230125293,068906","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","30","02","300050000","0200","","","BAHAN BANGUNAN","","K","18390000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","30","02","300050000","D8615EN","","","BAHAN BANGUNAN","","K","1272026,47","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300060000","000002","","","ALAT-ALAT LISTRIK","","K","33830500","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300060000","000003","","","ALAT-ALAT LISTRIK","","K","31165507,69","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300060000","000004","","","ALAT-ALAT LISTRIK","","K","1560900","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300060000","0200","","","ALAT-ALAT LISTRIK","","K","520041454,5","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300060000","D835PN","","","ALAT-ALAT LISTRIK","","K","4848000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300060000","D8529CV","","","ALAT-ALAT LISTRIK","","K","504262,5","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300060000","D8619BY","","","ALAT-ALAT LISTRIK","","K","1027685","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","11","02","300060000","","","","ALAT-ALAT LISTRIK","","K","112500","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","12","02","300060000","","","","ALAT-ALAT LISTRIK","","K","819887","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","20","02","300060000","","","","ALAT-ALAT LISTRIK","","K","381000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","30","02","300060000","","","","ALAT-ALAT LISTRIK","","K","191401434,051969","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","30","02","300060000","0200","","","ALAT-ALAT LISTRIK","","K","37435000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300080000","0200","","","ALAT-ALAT LABORATORIUM","","K","6758800","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","20","02","300080000","","","","ALAT-ALAT LABORATORIUM","","K","210000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","21","02","300080000","","","","ALAT-ALAT LABORATORIUM","","K","397500","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","30","02","300080000","","","","ALAT-ALAT LABORATORIUM","","K","13550000","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","02","02","300090000","0200","","","ALAT PENGOLAHAN","","K","87344844","0","CLOSING","07-12-2016 10:01:58","01",
"13","01-12-2016 00:00:00","TRANSAKSI","","","","20","02","300090000","","","","ALAT PENGOLAHAN","","K","13750","0","CLOSING","07-12-2016 10:01:58","01",
