"kodeunit","tanggal","kodebud","kodeJenisOlah","kodegrade","kodevar","norek","kodekbn","bi","rbi","pbi",
"13","31-03-2016 00:00:00","02","0200","","JADI","6090400","39","-1020","0","0",
"13","31-03-2016 00:00:00","02","0200","","JADI","6090400","34","-1080","0","0",
"13","31-03-2016 00:00:00","02","0200","","JADI","6090400","17","-2000","0","0",
"13","31-03-2016 00:00:00","02","0200","","JADI","6090400","12","-3000","0","0",
"13","31-03-2016 00:00:00","02","0200","","JADI","X","13","184348","284615","284615",
"13","30-04-2016 00:00:00","02","0200","","BASAH","6080100","11","41625","0","0",
"13","30-04-2016 00:00:00","02","0200","","BASAH","6090100","10","0","-14169","0",
"13","30-04-2016 00:00:00","02","0200","","BASAH","X","13","860110","1354464","1402700",
"13","30-04-2016 00:00:00","02","0200","","JADI","6080400","11","9423","0","0",
"13","30-04-2016 00:00:00","02","0200","","JADI","6090400","12","-8000","-3149","0",
"13","30-04-2016 00:00:00","02","0200","","JADI","X","13","196251","300992","311673",
"13","31-05-2016 00:00:00","02","0200","","BASAH","X","13","744090","1384187","1361232",
"13","31-05-2016 00:00:00","02","0200","","BASAH","6080100","11","18065","0","0",
"13","31-05-2016 00:00:00","02","0200","","BASAH","6090100","14","-4350","0","0",
"13","31-05-2016 00:00:00","02","0200","","BASAH","6090100","15","-5100","0","0",
"13","31-05-2016 00:00:00","02","0200","","JADI","X","13","168573","307597","302496",
"13","31-05-2016 00:00:00","02","0200","","JADI","6080400","11","3928","0","0",
"13","31-05-2016 00:00:00","02","0200","","JADI","6090400","14","-1001","0","0",
"13","31-05-2016 00:00:00","02","0200","","JADI","6090400","15","-1149","0","0",
"13","30-06-2016 00:00:00","02","0200","","BASAH","X","13","636720","1342967","1358073",
"13","30-06-2016 00:00:00","02","0200","","BASAH","6080100","15","3450","0","0",
"13","30-06-2016 00:00:00","02","0200","","BASAH","6080100","11","7350","0","0",
"13","30-06-2016 00:00:00","02","0200","","BASAH","6080100","12","3650","0","0",
"13","30-06-2016 00:00:00","02","0200","","JADI","X","13","145180","298437","301794",
"13","30-06-2016 00:00:00","02","0200","","JADI","6080400","15","766","0","0",
"13","30-06-2016 00:00:00","02","0200","","JADI","6080400","11","1709","0","0",
"13","30-06-2016 00:00:00","02","0200","","JADI","6080400","12","848","0","0",
"13","30-06-2016 00:00:00","02","0200","","JADI","6090400","12","-2000","0","0",
"13","30-06-2016 00:00:00","02","0200","","JADI","6090400","37","-21000","0","0",
"13","31-07-2016 00:00:00","02","0200","","BASAH","6080100","11","19480","0","0",
"13","31-07-2016 00:00:00","02","0200","","BASAH","6090100","10","-65020","0","-78863",
"13","31-07-2016 00:00:00","02","0200","","BASAH","6090100","14","-12530","0","0",
"13","31-07-2016 00:00:00","02","0200","","BASAH","6090100","34","-7110","0","0",
"13","31-07-2016 00:00:00","02","0200","","BASAH","6090100","39","-18950","0","0",
"13","31-07-2016 00:00:00","02","0200","","BASAH","X","13","772495","1218303","1053760",
"13","31-07-2016 00:00:00","02","0200","","JADI","6080400","11","4281","0","0",
"13","31-07-2016 00:00:00","02","0200","","JADI","6090400","12","-700","0","0",
"13","31-07-2016 00:00:00","02","0200","","JADI","6090400","29","-11000","0","0",
"13","31-07-2016 00:00:00","02","0200","","JADI","6090500","10","-14981","0","-17525",
"13","31-07-2016 00:00:00","02","0200","","JADI","6090500","14","-2797","0","0",
"13","31-07-2016 00:00:00","02","0200","","JADI","6090500","34","-1579","0","0",
"13","31-07-2016 00:00:00","02","0200","","JADI","6090500","39","-4163","0","0",
"13","31-07-2016 00:00:00","02","0200","","JADI","X","13","185484","270734","234140",
"13","30-09-2016 00:00:00","02","0200","","BASAH","X","13","803090","921015","796523",
"13","30-09-2016 00:00:00","02","0200","","BASAH","6080100","11","5160","0","0",
"13","30-09-2016 00:00:00","02","0200","","BASAH","6090100","37","-28850","0","0",
"13","30-09-2016 00:00:00","02","0200","","BASAH","6090100","39","-27480","-5918","-18202",
"13","30-09-2016 00:00:00","02","0200","","JADI","X","13","200832","204670","177005",
"13","30-09-2016 00:00:00","02","0200","","JADI","6080400","11","1147","0","0",
"13","30-09-2016 00:00:00","02","0200","","JADI","6090400","37","-6449","0","0",
"13","30-09-2016 00:00:00","02","0200","","JADI","6090400","39","-6040","-1315","-4045",
"13","31-08-2016 00:00:00","02","0200","","BASAH","6080100","11","21330","0","0",
"13","31-08-2016 00:00:00","02","0200","","BASAH","6090100","10","-23450","0","0",
"13","31-08-2016 00:00:00","02","0200","","BASAH","6090100","39","-5100","0","0",
"13","31-08-2016 00:00:00","02","0200","","BASAH","6090100","37","-4660","0","0",
"13","31-08-2016 00:00:00","02","0200","","BASAH","X","13","812150","826308","714710",
"13","31-08-2016 00:00:00","02","0200","","JADI","6080400","11","5312","0","0",
"13","31-08-2016 00:00:00","02","0200","","JADI","6090400","12","-8800","0","0",
"13","31-08-2016 00:00:00","02","0200","","JADI","6090400","10","-5171","0","0",
"13","31-08-2016 00:00:00","02","0200","","JADI","6090400","39","-1122","0","0",
"13","31-08-2016 00:00:00","02","0200","","JADI","6090400","37","-1064","0","0",
"13","31-08-2016 00:00:00","02","0200","","JADI","X","13","208220","183624","158804",
"13","31-10-2016 00:00:00","02","0200","","BASAH","X","13","924875","1322586","1051650",
"13","31-10-2016 00:00:00","02","0200","","BASAH","6090100","37","99820","0","0",
"13","31-10-2016 00:00:00","02","0200","","BASAH","6090100","12","4420","0","0",
"13","31-10-2016 00:00:00","02","0200","","JADI","X","13","219067","274715","263701",
"13","31-10-2016 00:00:00","02","0200","","JADI","6090400","37","-28023","0","0",
"13","31-10-2016 00:00:00","02","0200","","JADI","6090400","12","-9028","0","0",
"13","30-11-2016 00:00:00","02","0200","","BASAH","6090100","37","-49170","0","0",
"13","30-11-2016 00:00:00","02","0200","","BASAH","6090100","12","-10650","0","0",
"13","30-11-2016 00:00:00","02","0200","","BASAH","X","13","776800","1322586","1051520",
"13","30-11-2016 00:00:00","02","0200","","JADI","6090400","37","-10829","0","0",
"13","30-11-2016 00:00:00","02","0200","","JADI","6090400","12","-2480","0","0",
"13","30-11-2016 00:00:00","02","0200","","JADI","X","13","193570","293908","233671",
"13","31-12-2016 00:00:00","02","0205","","BASAH","X","13","1284,42","0","0",
"13","31-12-2016 00:00:00","02","0205","","JADI","X","13","290","0","0",
"13","31-12-2016 00:00:00","02","0205","","JADI","6090400","17","-290","0","0",
