"kodeunit","tanggal","nourut","noinput","kelompok","noaktiva","noaktivab","tarifpct","nmaktiva","kdafd","kdbud","norek","norekl","tglbeli","nobukti","tglbukti","leveransir","jmlunit","jmlunit1","satuan","nilaiperolehan","nilaipenyusutan","nilaipenyusutan_thl","nilaipenyusutan_sbl","nilaikoreksipenyusutan","kelompokaset","thntnm","statedit",
"14","31-12-2016 00:00:00","027","SUT201612-00001","008","1400800087","","0","MESIN PETIK MERK.KAWASAKI","14","02","008010000","080010300","14-03-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","125279999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","028","SUT201612-00001","008","1400800089","","0","MESIN PETIK KAWASAKI","10","02","008010000","080010300","06-05-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","19091673","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","029","SUT201612-00001","008","1400800092","","0","MESIN PETIK KAWASAKI ( DUA )","10","02","008010000","080010300","14-07-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","35959999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","030","SUT201612-00001","008","1400800093","","0","MESIN PETIK KAWASAKI ( DUA )","11","02","008010000","080010300","14-07-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","35959999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","031","SUT201612-00001","008","1400800094","","0","MESIN PETIK KAWASAKI ( DUA )","12","02","008010000","080010300","14-07-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","35959999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","032","SUT201612-00001","008","1400800095","","0","MESIN PETIK KAWASAKI ( DUA )","14","02","008010000","080010300","14-07-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","35959999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","033","SUT201612-00001","008","1400800046","","0","MESIN PETIK + SKIPING 2011","10","02","008010000","080010300","12-05-2011 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","2","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","034","SUT201612-00001","008","1400800048","","0","MESIN PETIK + SKIPING 2011","12","02","008010000","080010300","12-05-2011 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","5","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","035","SUT201612-00001","008","1400800049","","0","MESIN PETIK + SKIPING 2011","14","02","008010000","080010300","12-05-2011 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","4","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","036","SUT201612-00001","008","1400800056","","0","MESIN PETIK + SKIPING","10","02","008010000","080010300","01-12-2011 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","2","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","037","SUT201612-00001","008","1400800057","","0","MESIN PETIK + SKIPING","11","02","008010000","080010300","01-12-2011 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","2","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","038","SUT201612-00001","008","1400800058","","0","MESIN PETIK + SKIPING","12","02","008010000","080010300","01-12-2011 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","2","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","039","SUT201612-00001","008","1400800059","","0","MESIN PETIK + SKIPING","14","02","008010000","080010300","01-12-2011 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","3","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","040","SUT201612-00001","008","1400800090","","0","MESIN PETIK KAWASAKI + MESIN PERATA","12","02","008010000","080010300","06-05-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","33108325","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","041","SUT201612-00001","008","1400800091","","0","MESIN PETIK KAWASAKI + MESIN PERATA","14","02","008010000","080010300","06-05-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","33108325","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","042","SUT201612-00001","008","1400800037","","0","MESIN PERATA","02","02","008010000","080010300","07-11-2009 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","1","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","043","SUT201612-00001","008","1400800063","","0","MESIN SKIPPING AFD.TALUN","11","02","008010000","080010300","15-08-2012 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","3866678","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","044","SUT201612-00001","008","1400800064","","0","SKIPPING ( MESIN PERATA )","12","02","008010000","080010300","31-12-2012 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","5800012","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","045","SUT201612-00001","008","1400800065","","0","SKIPPING ( MESIN PERATA ) + MESIN PETIK","14","02","008010000","080010300","31-12-2012 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","12760012","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","046","SUT201612-00001","008","1400800073","","0","MESIN SKIPING AFD. SUKATINGAL","10","02","008010000","080010300","17-07-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","18366655","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","047","SUT201612-00001","008","1400800074","","0","MESIN SKIPING AFD. TALUN","11","02","008010000","080010300","17-07-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","27549999","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","048","SUT201612-00001","008","1400800075","","0","MESIN SKIPING AFD. SANTOSA","12","02","008010000","080010300","17-07-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","9183343","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","049","SUT201612-00001","008","1400800076","","0","MESIN SKIPING AFD. LODAYA","14","02","008010000","080010300","17-07-2013 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","9183343","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","050","SUT201612-00001","008","1400800096","","0","MESIN PERATA TEH ( SKIPING ) AFD.TAL","11","02","008010000","080010300","18-08-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","15466672","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","051","SUT201612-00001","008","1400800098","","0","MESIN PERATA TEH ( SKIPING ) AFD.SAN","12","02","008010000","080010300","23-08-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","34026672","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","052","SUT201612-00001","008","1400800099","","0","MESIN PERATA TEH ( SKIPING ) AFD.SKT","10","02","008010000","080010300","27-08-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","15466672","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","053","SUT201612-00001","008","1400800100","","0","MESIN PERATA TEH ( SKIPING )","11","02","008010000","080010300","01-09-2014 00:00:00","","04-01-2017 00:00:00","","0","0","UNIT","0","15950005","0","0","0","04","0","False",
"14","31-12-2016 00:00:00","001","TBM201612-00001","002","1400200001","","0","TBM THN TANAM 2013 AFD.TALUN","11","02","002000000","042200000","31-12-2013 00:00:00","","01-01-1900 00:00:00","","0","0","","250466684","0","0","0","0","04","2013","False",
"14","31-12-2016 00:00:00","002","TBM201612-00001","002","1400200002","","0","TBM THN TANAM 2013 AFD.SANTOSA","12","02","002000000","042200000","31-12-2013 00:00:00","","01-01-1900 00:00:00","","0","0","","325309021","0","0","0","0","04","2013","False",
"14","31-12-2016 00:00:00","003","TBM201612-00001","002","1400200003","","0","TBM THN TANAM 2013 AFD.LODAYA","14","02","002000000","042200000","31-12-2013 00:00:00","","01-01-1900 00:00:00","","0","0","","248765722","0","0","0","0","04","2013","False",
"14","31-12-2016 00:00:00","004","TBM201612-00001","002","1400200004","","0","TBM THN TANAM 2014 AFD.SUKATINGAL","10","02","002000000","042200000","31-12-2014 00:00:00","","01-01-1900 00:00:00","","0","0","","254289704","0","0","0","0","04","2014","False",
"14","31-12-2016 00:00:00","005","TBM201612-00001","002","1400200005","","0","TBM THN TANAM 2014 AFD.TALUN","11","02","002000000","042200000","31-12-2014 00:00:00","","01-01-1900 00:00:00","","0","0","","295436905","0","0","0","0","04","2014","False",
"14","31-12-2016 00:00:00","006","TBM201612-00001","002","1400200006","","0","TBM THN TANAM 2014 AFD.SANTOSA","12","02","002000000","042200000","31-12-2014 00:00:00","","01-01-1900 00:00:00","","0","0","","196066414","0","0","0","0","04","2014","False",
"14","31-12-2016 00:00:00","007","TBM201612-00001","002","1400200009","","0","TBM KOPI TAHUN TANAM 2013 AFD.CIKEMBANG","15","36","002000000","042200000","31-12-2013 00:00:00","","01-01-1900 00:00:00","","0","0","Hektare","736094223","0","0","0","0","04","2013","False",
"14","31-12-2016 00:00:00","008","TBM201612-00001","002","1400200010","","0","TBM KOPI TAHUN TANAM 2014 CIKEMBANG KOPI","15","36","002000000","042200000","31-12-2014 00:00:00","","01-01-1900 00:00:00","","0","0","Hektare","174888169","0","0","0","0","04","2014","False",
"14","31-12-2016 00:00:00","009","TBM201612-00001","002","1400200011","","0","TBM JERUK TAHUN TANAM 2012","11","37","002000000","042200000","31-12-2012 00:00:00","","01-01-1900 00:00:00","","0","0","Hektare","2825454","0","0","0","0","04","2012","False",
"14","31-12-2016 00:00:00","001","KBN201612-00001","005","1400500146","","10","Press Cup ( PC ) Ex Kebun PAL","02","02","005010000","080021500","30-12-2016 00:00:00","","01-01-1900 00:00:00","","1","0","UNIT","1","0","0","0","0","06","0","False",
