"kodekebun","kodebudidaya","kodeafdeling","kodeblok","namablok","status","tahuntanam","luas","kodekloon","netral","jmlpohon","tinggipohon","topologi","exareal","KodeTopografi","KodeKetinggian","mdpl","tanggal","jmlPatok",
"14","29","12","5100","DATAR","TTI","2011","1,2200","","292011/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5200","PASIR ANGIN","TTI","2011","2,0000","","292011/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5300","PASIR KEMAR","TTI","2011","15,2400","","292011/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5400","PEUNTAS","TTI","2011","11,3700","","292011/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5500","ANTANAN","TTI","2011","5,2200","","292011/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5600","KUBANG","TTI","2012","1,4500","","292012/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5700","KUBANG","TTI","2012","0,7300","","292012/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5800","PADA AWAS","TTI","2012","1,2700","","292012/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","5900","PAGER SARI","TTI","2012","0,5400","","292012/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","12","6000","JATI","TTI","2012","1,1100","","292012/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","4900","PASIR PANJANG","TBM","2010","3,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","5000","LODAYA","TBM","2010","1,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","5100","PANORAMA","TBM","2010","1,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","5200","HARUMAN","TBM","2010","1,0000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","5300","LENGHOY","TBM","2010","0,4700","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","5400","PASIR SURI","TBM","2010","2,5000","","292010/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","5500","WAAS","TBM","2011","2,5100","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","5600","PANGAUBAN","TBM","2011","4,0800","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","5700","PC SARI","TBM","2011","2,5000","","292011/02","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","","","PESEMAIAN","2010","0,1400","","292010/03","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","4900","WAAS","TTI","2011","2,5100","","292011/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
"14","29","14","5000","RANCA IBUN","TTI","2011","6,5800","","292011/04","0","0","0","Areal8","","","0","01-01-1900 00:00:00","0",
