"tanggal","kodeunit","kodeafd","kodebud","grup","nobukti","uraian","norek","DK","nilai","netral","thntnm","jmlfisik",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00104","Tunj.Jamsostek & BPJS Bbn.Persh. Bulan : 12-2016","154010000","K","5916195","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00105","Tunj.Dapenbun Bulan : 12-2016","154010000","K","824022","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00106","Tunjangan Trans.Sepeda Motor Bulan : 12-2016","154010000","K","900000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00112","Tunjangan PPIP Bulan : 12-2016","154010000","K","132274","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00202","Tunjangan Struktural Bulan : 12-2016","154010000","K","5052000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00203","Tunjangan Jabatan Bulan : 12-2016","154010000","K","13541000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00301","Potongan Jamsostek & BPJS Bulan : 12-2016","168020000","K","3688429","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00301","Potongan BPJS JP Bulan : 12-2016","168090000","K","1684569","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00301","Potongan BPJS Kesehatan Bulan : 12-2016","168090100","K","2790850","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00302","Potongan Dapenbun Bulan : 12-2016","168000000","K","1527315","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00303","Pinjaman Peg.Staf an.Ir Iwan Hartadi Wibawa Bulan : 12-2016","143000000","K","1400043","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00303","Pinjaman Peg.Staf an.Akhmad Budi Santoso Sp Bulan : 12-2016","143000001","K","2749137","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00303","Pinjaman Peg.Staf an.Firdaus M. Zen, S.Hut Bulan : 12-2016","143000002","K","2539343","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00303","Pinjaman Peg.Staf an.Dasep Sukmara Bulan : 12-2016","143000004","K","2628795","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00303","Pinjaman Peg.Staf an.Nandang Sukandar Bulan : 12-2016","143000006","K","1417014","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00303","Pinjaman Peg.Staf an.Asep Subaran Bulan : 12-2016","143000007","K","1781000","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00303","Pinjaman Peg.Staf an.Somantri Komar Bulan : 12-2016","143000011","K","1887500","","","0",
"31-12-2016 00:00:00","14","02","02","01","GJI201612V-00303","Pinjaman Peg.Staf an.Dadan Wardana Bulan : 12-2016","143000012","K","1145225","","","0",
