"NPP","NoUrut","TKPendidikan","Pendidikan","Nama","Kota","StatAkreditasi","DNLN","TahunAwal","TahunAkhir","StatLulus","NoIjasah","TglIjasah","Nilai","Grade","UserId","TglInput",
"01037565011583","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01037861016260","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01037862016261","01","1","1A00","","","0","D","","","L","1","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01037962017659","01","1","1000","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01038060019434","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01038062019435","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01038062019436","01","1","1000","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01038162020765","01","1","1000","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01038164020766","01","2","2000","UMUM","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01038461022469","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:04",
"01050571039791","01","1","1000","SEKOLAH DASAR","BANDUNG","9","D","1980","1986","L","XXXX","01-05-1986 00:00:00","6","C","MIGRASI","07-05-2015 08:59:05",
"01050574039788","01","3","3D00","MANAJEMEN PEMASARAN","BANDUNG","9","D","1989","1992","L","","01-05-1992 00:00:00","7","C","MIGRASI","07-05-2015 08:59:05",
"01051274041377","01","3","2BA0","","TASIK MALAYA","0","D","1990","1993","L","02 ob og 0025485","29-05-1993 00:00:00","70","C","MIGRASI","07-05-2015 08:59:05",
"01051274041377","02","6","BA40","","","0","D","","","L","002/BAN-PT/ak-11/XII","14-11-2000 00:00:00","0","","MIGRASI","07-05-2015 08:59:05",
"01051275041385","01","3","3E00","PERIKANAN","SUMEDANG","0","D","1993","1996","L","BG/BP/06,962/96","23-05-1996 00:00:00","71","C","MIGRASI","07-05-2015 08:59:05",
"01051277041379","01","3","3DA0","MANAJEMEN PEMASARAN","BANJARAN","0","D","1993","1996","L","02 ob om 0214251","27-05-1996 00:00:00","85","B","MIGRASI","07-05-2015 08:59:05",
"01051277041381","01","3","3DA0","AKUNTANSI","BANDUNG","0","D","1993","1996","L","02 ob om 0015740","27-05-1996 00:00:00","73","C","MIGRASI","07-05-2015 08:59:05",
"01051277041386","01","3","3BD0","MESIN PRODUKSI","BANDUNG","0","D","1994","1997","L","02 ob og 224 003849","05-06-1997 00:00:00","57","C","MIGRASI","07-05-2015 08:59:05",
"01051277041388","01","2","2A00","","BANDUNG","0","D","1987","1990","L","02 ob ob 1284430","14-05-1990 00:00:00","77","C","MIGRASI","07-05-2015 08:59:05",
"01051278041375","01","2","2A00","","BANDUNG","0","D","1991","1994","L","02oaob0281661","06-06-1994 00:00:00","77","C","MIGRASI","07-05-2015 08:59:05",
