"KodeUnit","tanggal","NoInput","NoBukti","Keterangan","NoUrut","kodeafd","kodebud","norek","netral","kdblok","thntnm","uraian","unsur","DK","nilai","JmlFisik","NamaUser","TglInput","KMK",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","2900","","EAP","","D","179907,539606661","39","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","3000","","EAP","","D","66974,8439893835","15","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","3200","","EAP","","D","80115,7423313967","14","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","","3300","","EAP","","D","100423,703149009","14","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","0200","","","EAP","","D","1132064,77044123","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","601071900","0201","","","EAP","","D","468094,070402773","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","11","02","601071900","","0200","","EAP","","D","67324,4255790717","18","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","11","02","601071900","","0300","","EAP","","D","71064,6714445757","19","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","11","02","601071900","","0500","","EAP","","D","116787,702034098","20","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","14","02","024080000","","","","BANGUNAN SOSIAL","","D","8328117,99166667","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","21","02","024080000","","","","BANGUNAN SOSIAL","","D","56001786","0","CLOSING","30-04-2019 15:49:50","01",
"15","01-04-2019 00:00:00","TRANSAKSI","","","","10","02","024190000","","","","BANGUNAN LAIN-LAIN","","D","80229079","0","CLOSING","30-04-2019 15:49:50","01",
