"kodeunit","tgltran","nobukti","noaktiva","kdafd","kdbud","kelompok","norek","tglbeli","nmaktiva","kelompokaset","tarifpct","jmlunit","satuan","sawalp","auditp","rcp","hapusp","rekp","kbnp","murnip","sawals","audits","rcs","hapuss","kbns","reks","murnis","stopr","thntnm","kondisi",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400061","10","00","004","004190000","31-12-2011 00:00:00","TPH AFD.I","01","5","1","UNIT","38984680","0","0","0","0","0","0","9908597,83333334","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400062","12","00","004","004190000","31-12-2011 00:00:00","TPH AFD.III","01","5","1","UNIT","38984680","0","0","0","0","0","0","9908597,83333334","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100400063","12","00","004","004190000","31-12-2011 00:00:00","TPH AFD.III","01","5","1","UNIT","38984680","0","0","0","0","0","0","9908597,83333334","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500001","30","00","005","005010000","01-01-1967 00:00:00","GENERATOR SIEMENS","05","5","1","UNIT","293496","0","0","0","0","0","0","293495","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500002","30","00","005","005010000","01-01-1968 00:00:00","GENERATOR SIEMENS","05","5","1","UNIT","293496","0","0","0","0","0","0","293495","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500003","30","00","005","005010000","01-01-1972 00:00:00","ELECTRO HINZ EX ALAK","05","5","1","UNIT","26250","0","0","0","0","0","0","26249","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500004","21","00","005","005010000","01-01-1972 00:00:00","SHEET BATREY BAN TEK LIE EX TJIR","05","5","1","UNIT","770244","0","0","0","0","0","0","770243","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500005","21","00","005","005010000","01-01-1972 00:00:00","GILINGAN TANGAN EX TJIR","05","5","1","UNIT","108754","0","0","0","0","0","0","108753","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500006","21","00","005","005010000","01-01-1979 00:00:00","SHEET ELECTRO","05","5","1","UNIT","23030365","0","0","0","0","0","0","23030364","0","0","0","0","0","0","","","0",
"71","01-01-2017 00:00:00","SALDO AWAL","7100500007","21","00","005","005010000","01-01-1985 00:00:00","INSTALASI PABRIK CREPE","05","5","1","UNIT","25618797","0","0","0","0","0","0","25618796","0","0","0","0","0","0","","","0",
