"kodeunit","tanggal","unsur","kodeafd","kodebud","norek","netral","kodebarang","qtyBrg_RKAP","qtyBrg_PMK","klsKary","jmlHK_RKAP","jmlHsl_RKAP","jmlKary_RKAP","nilai_RKAP","jmlHK_PMK","jmlHsl_PMK","jmlKary_PMK","nilai_PMK","kodeblok","thntnm","HaJelajah_RKAP","HaJelajah_PMK","KMK",
"71","26-01-2017 00:00:00","BB","21","00","603110300","0000","","0","0","","0","0","0","183750","0","0","0","0","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","604010000","0000","","0","0","","0","0","0","19000000","0","0","0","18002000","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","604020000","0000","","0","0","","0","0","0","10182866","0","0","0","14856000","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","604020200","0000","","0","0","","0","0","0","3802562","0","0","0","0","","","0","0","01",
"71","26-01-2017 00:00:00","BB","21","00","605040000","0000","","0","0","","0","0","0","696743","0","0","0","697000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","422060000","","","0","0","","0","0","0","2545996","0","0","0","2500000","","","0","0","01",
"71","19-01-2017 00:00:00","LL","02","00","423010000","","","0","0","","0","0","0","0","0","0","0","20391000","","","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","600000100","0000","","0","0","","0","0","0","50158000","0","0","0","50158000","","2011","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","601010100","0000","","0","0","","0","0","0","24281000","0","0","0","20189000","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","601050104","0000","","0","0","","0","0","0","20524000","0","0","0","23060000","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","601050200","0000","","0","0","","0","0","0","34634000","0","0","0","51950000","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","601090904","0000","","0","0","","0","0","0","11506000","0","0","0","11506000","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","042010100","2012","","0","0","","0","0","0","1536000","0","0","0","0","0005","2012","0","0","01",
"71","23-01-2017 00:00:00","GU","11","00","042030100","2012","","0","0","","0","0","0","1063000","0","0","0","0","0005","2012","0","0","01",
