"kodeunit","tanggal","kodetrans","kodeafd","kodebud","regmdr","register","sts","norek","netral","kdblok","thntnm","stb","jmlhasil","nilai","KMK",
"71","01-01-2017 00:00:00","638","12","00","01059464031155","01051283041902","KB","602030100","","0010","2003","Cash","45","260000","01",
"71","01-01-2017 00:00:00","638","12","00","01059464031155","01099167030366","KB","602030100","","0007","2006","Cash","188","1096000","01",
"71","26-01-2017 00:00:00","638","12","00","01099565031861","711200010","KL","602030200","","0010","2003","Cash","82","446000","01",
"71","26-01-2017 00:00:00","638","12","00","01051272041897","01099166030359","KB","602030100","","0012","2001","Cash","468","2951000","01",
"71","26-01-2017 00:00:00","638","12","00","01050777041038","01099572029768","KB","602030100","","0010","2003","Cash","261","1554000","01",
"71","26-01-2017 00:00:00","638","12","00","01051274041894","01080267038286","KB","602030100","","0007","2006","Cash","221","1342000","01",
"71","26-01-2017 00:00:00","638","12","00","01051274041894","01051275041896","KB","602030100","","0010","2003","Cash","113","676000","01",
"71","26-01-2017 00:00:00","638","12","00","01059464031155","01051283041902","KB","602030100","","0010","2003","Cash","60","370000","01",
"71","26-01-2017 00:00:00","638","12","00","01059464031155","01030270037197","KB","602030100","","0007","2006","Cash","286","1832000","01",
"71","26-01-2017 00:00:00","638","10","00","01059466031153","01030273037186","KB","602030100","","0001","2005","Cash","201","1197000","01",
"71","26-01-2017 00:00:00","638","10","00","01059466031153","711000253","KL","602030200","","0002","2005","Cash","95","560000","01",
"71","26-01-2017 00:00:00","638","10","00","01060681040448","01099567031864","KB","602030100","","0003","2009","Cash","124","718000","01",
"71","26-01-2017 00:00:00","638","10","00","01060681040448","01089567031709","KB","602030100","","0004","2009","Cash","79","453000","01",
"71","26-01-2017 00:00:00","638","10","00","01060681040448","01010070034898","KB","602030100","","0013","1999","Cash","24","138000","01",
"71","26-01-2017 00:00:00","638","10","00","01120572040211","01059464031145","KB","602030100","","0003","2009","Cash","20","118000","01",
"71","26-01-2017 00:00:00","638","10","00","01120572040211","01010371039054","KB","602030100","","0001","2005","Cash","78","565500","01",
"71","26-01-2017 00:00:00","638","10","00","01049066028874","01051284041910","KB","602030100","","0013","1999","Cash","46","320000","01",
"71","26-01-2017 00:00:00","638","10","00","01049066028874","01020980041244","KB","602030100","","0002","2005","Cash","69","480000","01",
"71","26-01-2017 00:00:00","638","10","00","01049066028874","711000050","KL","602030200","","0003","2009","Cash","13","86000","01",
"71","26-01-2017 00:00:00","638","10","00","01010174035743","711000292","KL","602030200","","0026","2010","Cash","175","1130000","01",
"71","26-01-2017 00:00:00","638","10","00","01051286041900","711000275","KL","602030200","","0004","2009","Cash","50","262000","01",
"71","26-01-2017 00:00:00","638","10","00","01051286041900","711000311","KL","602030200","","0003","2009","Cash","90","680500","01",
"71","26-01-2017 00:00:00","638","10","00","01050578039892","711000067","KL","602030200","","0027","2010","Cash","27","144000","01",
"71","29-01-2017 00:00:00","638","10","00","01059466031153","01030273037186","KB","602030100","","0001","2005","Cash","25","175000","01",
"71","15-01-2017 00:00:00","638","11","00","01100478039480","711100033","KL","602030200","","0016","2009","Cash","13","86000","01",
"71","15-01-2017 00:00:00","638","11","00","01100478039480","01059471031165","KB","602030100","","0012","2008","Cash","79","513000","01",
"71","15-01-2017 00:00:00","638","11","00","01100478039480","01110680040724","KB","602030100","","0011","2008","Cash","168","1086000","01",
"71","15-01-2017 00:00:00","638","11","00","01079968034942","01099165030357","KB","602030100","","0013","2008","Cash","65","420000","01",
"71","15-01-2017 00:00:00","638","11","00","01079968034942","01089573031716","KB","602030100","","0012","2008","Cash","26","152000","01",
"71","15-01-2017 00:00:00","638","11","00","01079968034942","01110672040720","KB","602030100","","0017","2009","Cash","13","76000","01",
"71","15-01-2017 00:00:00","638","11","00","01079968034942","01050775041044","KB","602030100","","0018","2009","Cash","13","81000","01",
"71","24-01-2017 00:00:00","638","10","00","01059466031153","01030273037186","KB","602030100","","0001","2005","Cash","167","979000","01",
"71","24-01-2017 00:00:00","638","10","00","01059466031153","711000033","KL","602030200","","0002","2005","Cash","90","520000","01",
"71","24-01-2017 00:00:00","638","10","00","01060681040448","01099567031864","KB","602030100","","0003","2009","Cash","99","578000","01",
"71","24-01-2017 00:00:00","638","10","00","01060681040448","01089567031709","KB","602030100","","0004","2009","Cash","97","564000","01",
"71","24-01-2017 00:00:00","638","10","00","01060681040448","01010070034898","KB","602030100","","0013","1999","Cash","24","143000","01",
"71","24-01-2017 00:00:00","638","10","00","01120572040211","01059464031145","KB","602030100","","0003","2009","Cash","26","166000","01",
"71","24-01-2017 00:00:00","638","10","00","01120572040211","01010371039054","KB","602030100","","0001","2005","Cash","51","349000","01",
"71","24-01-2017 00:00:00","638","10","00","01049066028874","01051284041910","KB","602030100","","0013","1999","Cash","27","180000","01",
"71","24-01-2017 00:00:00","638","10","00","01049066028874","01020980041244","KB","602030100","","0002","2005","Cash","52","356000","01",
"71","24-01-2017 00:00:00","638","10","00","01049066028874","711000050","KL","602030200","","0003","2009","Cash","9","60000","01",
"71","24-01-2017 00:00:00","638","10","00","01010174035743","711000292","KL","602030200","","0002","2005","Cash","180","1176000","01",
"71","08-01-2017 00:00:00","638","11","00","01100478039480","711100033","KL","602030200","","0016","2009","Cash","26","172000","01",
"71","08-01-2017 00:00:00","638","11","00","01100478039480","01099164030352","KB","602030100","","0012","2008","Cash","76","487000","01",
"71","08-01-2017 00:00:00","638","11","00","01100478039480","01030272037193","KB","602030100","","0011","2008","Cash","144","913000","01",
"71","08-01-2017 00:00:00","638","11","00","01079968034942","01089572031715","KB","602030100","","0013","2008","Cash","72","444000","01",
"71","08-01-2017 00:00:00","638","11","00","01079968034942","01089573031716","KB","602030100","","0012","2008","Cash","94","573000","01",
"71","08-01-2017 00:00:00","638","11","00","01079968034942","01110672040720","KB","602030100","","0017","2009","Cash","35","220000","01",
"71","08-01-2017 00:00:00","638","11","00","01079968034942","01050775041044","KB","602030100","","0018","2009","Cash","53","331000","01",
"71","08-01-2017 00:00:00","638","11","00","01060680040449","01060672040446","KB","602030100","","0005","2003","Cash","99","598000","01",
"71","08-01-2017 00:00:00","638","11","00","01060680040449","711200230","KL","602030200","","0002","2001","Cash","239","1433000","01",
"71","08-01-2017 00:00:00","638","11","00","01020979041246","711200144","KL","602030200","","0002","2001","Cash","219","1233000","01",
"71","08-01-2017 00:00:00","638","11","00","01030271037195","01030267037194","KB","602030100","","0017","2009","Cash","20","136000","01",
"71","08-01-2017 00:00:00","638","11","00","01030271037195","01070172036394","KB","602030100","","0017","2009","Cash","69","462000","01",
"71","08-01-2017 00:00:00","638","11","00","01030271037195","711100090","KL","602030200","","0017","2009","Cash","51","394500","01",
"71","29-01-2017 00:00:00","638","12","00","01050572039897","711200137","KL","602030200","","0001","1999","Cash","275","1102000","01",
"71","29-01-2017 00:00:00","638","12","00","01051274041894","01080267038286","KB","602030100","","0002","1999","Cash","114","774000","01",
"71","24-01-2017 00:00:00","638","10","00","01051286041900","711000275","KL","602030200","","0002","2005","Cash","56","358000","01",
"71","24-01-2017 00:00:00","638","10","00","01051286041900","711000311","KL","602030200","","0004","2009","Cash","73","503500","01",
"71","24-01-2017 00:00:00","638","10","00","01051286041900","711000079","KL","602030200","","0003","2009","Cash","27","168000","01",
"71","15-01-2017 00:00:00","638","10","00","01059466031153","01030273037186","KB","602030100","","0001","2005","Cash","121","557000","01",
"71","15-01-2017 00:00:00","638","10","00","01060681040448","01099567031864","KB","602030100","","0003","2009","Cash","47","254000","01",
"71","15-01-2017 00:00:00","638","10","00","01060681040448","01089567031709","KB","602030100","","0004","2009","Cash","71","392000","01",
"71","15-01-2017 00:00:00","638","10","00","01060681040448","01010070034898","KB","602030100","","0013","1999","Cash","16","87000","01",
"71","15-01-2017 00:00:00","638","10","00","01120572040211","01059464031145","KB","602030100","","0013","1999","Cash","14","88000","01",
"71","15-01-2017 00:00:00","638","10","00","01120572040211","01010371039054","KB","602030100","","0004","2009","Cash","33","215500","01",
"71","15-01-2017 00:00:00","638","10","00","01049066028874","01051284041910","KB","602030100","","0002","2005","Cash","19","134000","01",
"71","15-01-2017 00:00:00","638","10","00","01049066028874","01020980041244","KB","602030100","","0003","2009","Cash","29","202000","01",
"71","15-01-2017 00:00:00","638","10","00","01049066028874","711000050","KL","602030200","","0013","1999","Cash","8","58000","01",
"71","15-01-2017 00:00:00","638","10","00","01010174035743","711000292","KL","602030200","","0026","2010","Cash","303","1398000","01",
"71","15-01-2017 00:00:00","638","10","00","01051286041900","711000275","KL","602030200","","0004","2009","Cash","41","244000","01",
"71","15-01-2017 00:00:00","638","10","00","01051286041900","711000311","KL","602030200","","0003","2009","Cash","78","539500","01",
"71","15-01-2017 00:00:00","638","10","00","01050578039892","711000067","KL","602030200","","0002","2005","Cash","17","100000","01",
"71","15-01-2017 00:00:00","638","11","00","01060680040449","01100470039481","KB","602030100","","0005","2003","Cash","29","173000","01",
"71","15-01-2017 00:00:00","638","11","00","01060680040449","711200097","KL","602030200","","0002","2001","Cash","87","504000","01",
"71","15-01-2017 00:00:00","638","11","00","01020979041246","711200038","KL","602030200","","0002","2001","Cash","145","725000","01",
"71","15-01-2017 00:00:00","638","11","00","01030271037195","01099567031866","KB","602030100","","0012","2008","Cash","12","78000","01",
"71","15-01-2017 00:00:00","638","11","00","01030271037195","01079968034938","KB","602030100","","0012","2008","Cash","45","294000","01",
"71","15-01-2017 00:00:00","638","11","00","01030271037195","711100032","KL","602030200","","0012","2008","Cash","13","91000","01",
"71","22-01-2017 00:00:00","638","11","00","01100478039480","711100033","KL","602030200","","0016","2009","Cash","26","157000","01",
"71","22-01-2017 00:00:00","638","11","00","01100478039480","01030272037193","KB","602030100","","0012","2008","Cash","72","444000","01",
"71","22-01-2017 00:00:00","638","11","00","01100478039480","01079863033010","KB","602030100","","0011","2008","Cash","172","1064000","01",
"71","22-01-2017 00:00:00","638","11","00","01079968034942","01019064028654","KB","602030100","","0013","2008","Cash","63","408500","01",
"71","22-01-2017 00:00:00","638","11","00","01079968034942","01110676040716","KB","602030100","","0012","2008","Cash","67","429000","01",
"71","22-01-2017 00:00:00","638","11","00","01079968034942","01089569031711","KB","602030100","","0017","2009","Cash","38","233500","01",
"71","22-01-2017 00:00:00","638","11","00","01079968034942","01051277041909","KB","602030100","","0018","2009","Cash","38","231000","01",
"71","22-01-2017 00:00:00","638","11","00","01060680040449","01051272041905","KB","602030100","","0005","2003","Cash","60","330000","01",
"71","22-01-2017 00:00:00","638","11","00","01060680040449","711200149","KL","602030200","","0002","2001","Cash","284","1558000","01",
"71","22-01-2017 00:00:00","638","11","00","01020979041246","711200050","KL","602030200","","0002","2001","Cash","314","1678000","01",
"71","22-01-2017 00:00:00","638","11","00","01030271037195","01099567031866","KB","602030100","","0012","2008","Cash","25,5","177000","01",
"71","22-01-2017 00:00:00","638","11","00","01030271037195","01099165030354","KB","602030100","","0011","2008","Cash","95,5","659000","01",
"71","22-01-2017 00:00:00","638","11","00","01030271037195","711100084","KL","602030200","","0013","2008","Cash","35","265000","01",
"71","26-01-2017 00:00:00","638","12","00","01020979041242","711200249","KL","602030200","","0001","1999","Cash","127","904000","01",
"71","26-01-2017 00:00:00","638","12","00","01020979041242","711200259","KL","602030200","","0001","1999","Cash","60","399500","01",
"71","26-01-2017 00:00:00","638","12","00","01099166030360","01018963028023","KB","602030100","","0002","1999","Cash","413","2001000","01",
"71","26-01-2017 00:00:00","638","12","00","01050575039896","01051279041906","KB","602030100","","0001","1999","Cash","220","1075000","01",
"71","26-01-2017 00:00:00","638","12","00","01050572039897","711200137","KL","602030200","","0002","1999","Cash","84","438000","01",
"71","26-01-2017 00:00:00","638","12","00","01050572039897","711200120","KL","602030200","","0002","1999","Cash","154","800000","01",
"71","26-01-2017 00:00:00","638","12","00","01099565031861","711200214","KL","602030200","","0012","2001","Cash","99","630000","01",
"71","26-01-2017 00:00:00","638","12","00","01099565031861","711200209","KL","602030200","","0012","2001","Cash","25","152000","01",
"71","01-01-2017 00:00:00","638","11","00","01100478039480","01050576039895","KB","602030100","","0016","2009","Cash","18","106000","01",
"71","01-01-2017 00:00:00","638","11","00","01100478039480","01059471031165","KB","602030100","","0012","2008","Cash","40","235000","01",
"71","01-01-2017 00:00:00","638","11","00","01100478039480","01019064028653","KB","602030100","","0011","2008","Cash","115","695000","01",
"71","01-01-2017 00:00:00","638","11","00","01079968034942","01099166030365","KB","602030100","","0013","2008","Cash","47","343000","01",
"71","01-01-2017 00:00:00","638","11","00","01079968034942","01019066028658","KB","602030100","","0012","2008","Cash","38,5","285500","01",
"71","01-01-2017 00:00:00","638","11","00","01079968034942","01110672040720","KB","602030100","","0017","2009","Cash","28","204000","01",
"71","01-01-2017 00:00:00","638","11","00","01079968034942","01050775041044","KB","602030100","","0018","2009","Cash","27,5","202500","01",
"71","01-01-2017 00:00:00","638","11","00","01060680040449","01051272041905","KB","602030100","","0005","2003","Cash","225","1270000","01",
"71","01-01-2017 00:00:00","638","11","00","01060680040449","711200154","KL","602030200","","0002","2001","Cash","81","457000","01",
