"KodeUnit","tanggal","waktu","noinput","nobuku","tglfaktur","nofaktur","nama","alamat","KodeAfdeling","KodeBudidaya","nourut","kodebarang","qtyminta","qty","ppn","status","nilai","norek","netral","jml_fisik","kdblok","keterangan","Penjelasan","tglkom","namauser","thntnm","KMK",
"71","04-01-2017 00:00:00","08:47:00","A58201701-00033","A58201701-V00033","04-01-2017 00:00:00","","Afd I, anti beku latek","","10","00","001","00100008","20","20","False","","50000","602120000","2009","0","0004","","untuk anti beku praolah","09-01-2017 00:00:00","sutarja","","01",
"71","04-01-2017 00:00:00","08:47:00","A58201701-00033","A58201701-V00033","04-01-2017 00:00:00","","Afd I, anti beku latek","","10","00","002","00100008","21","21","False","","52500","608060000","0000","0","","","untuk anti beku praolah","09-01-2017 00:00:00","sutarja","","01",
"71","04-01-2017 00:00:00","08:49:05","A58201701-00034","A58201701-V00034","04-01-2017 00:00:00","","Afd tehnik, bahan bakar solar","","30","00","001","00301002","20","20","False","","154060","201030000","D8850EY","0","","","untuk bahan bakar","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:52:08","A58201701-00036","A58201701-V00036","05-01-2017 00:00:00","","Afd pabrik RSS, pengepakan sit","","21","00","001","00301004","45","45","False","","375750","605040000","0000","0","","","untuk perlengkapan pengepakan RSS","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:52:08","A58201701-00036","A58201701-V00036","05-01-2017 00:00:00","","Afd pabrik RSS, pengepakan sit","","21","00","002","00301006","20","20","False","","374000","605040000","0000","0","","","untuk perlengkapan pengepakan RSS","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:53:54","A58201701-00037","A58201701-V00037","05-01-2017 00:00:00","","Afd tehnik, bahan bakar","","30","00","001","00301002","20","20","False","","154060","200030000","F1148UL","0","","","untuk bahan bakar","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:53:54","A58201701-00037","A58201701-V00037","05-01-2017 00:00:00","","Afd tehnik, bahan bakar","","30","00","002","00301002","25","25","False","","192575","200030000","D816PN","0","","","untuk bahan bakar","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:53:54","A58201701-00037","A58201701-V00037","05-01-2017 00:00:00","","Afd tehnik, bahan bakar","","30","00","003","00301002","100","100","False","","770300","201030000","D8851EY","0","","","untuk bahan bakar","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:53:54","A58201701-00037","A58201701-V00037","05-01-2017 00:00:00","","Afd tehnik, bahan bakar","","30","00","004","00301002","20","20","False","","154060","201030000","D8192EU","0","","","untuk bahan bakar","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:53:54","A58201701-00037","A58201701-V00037","05-01-2017 00:00:00","","Afd tehnik, bahan bakar","","30","00","005","00301002","20","20","False","","154060","201030000","D8905EO","0","","","untuk bahan bakar","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:53:54","A58201701-00037","A58201701-V00037","05-01-2017 00:00:00","","Afd tehnik, bahan bakar","","30","00","006","00301002","100","100","False","","770300","201030000","D8906EO","0","","","untuk bahan bakar","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:53:54","A58201701-00037","A58201701-V00037","05-01-2017 00:00:00","","Afd tehnik, bahan bakar","","30","00","007","00301002","90","90","False","","693270","201030000","D8907EO","0","","","untuk bahan bakar","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:59:47","A58201701-00038","A58201701-V00038","05-01-2017 00:00:00","","Afd VI, pengepakan buah pisang","","15","31","001","01200717","500","500","False","","13000","605040000","3100","0","","","untuk perlengkapan pengepakan buah pisang","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:59:47","A58201701-00038","A58201701-V00038","05-01-2017 00:00:00","","Afd VI, pengepakan buah pisang","","15","31","002","00202347","0,03","0,03","False","","20550","605040000","3100","0","","","untuk perlengkapan pengepakan buah pisang","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:59:47","A58201701-00038","A58201701-V00038","05-01-2017 00:00:00","","Afd VI, pengepakan buah pisang","","15","31","003","01200667","100","100","False","","1695000","605040000","3100","0","","","untuk perlengkapan pengepakan buah pisang","09-01-2017 00:00:00","sutarja","","01",
"71","05-01-2017 00:00:00","08:59:47","A58201701-00038","A58201701-V00038","05-01-2017 00:00:00","","Afd VI, pengepakan buah pisang","","15","31","004","01200667","100","100","False","","1695000","605040000","3100","0","","","untuk perlengkapan pengepakan buah pisang","09-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","001","00301002","20","20","False","","154060","200030000","D1842QA","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","002","00301002","25","25","False","","192575","200030000","D816PN","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","003","00301002","90","90","False","","693270","201030000","D8851EY","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","004","00301002","85","85","False","","654755","201030000","D8907EO","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","005","00301002","40","40","False","","308120","201030000","D8192EU","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","006","00301002","20","20","False","","154060","201030000","D8108DQ","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","007","00301002","25","25","False","","192575","201030000","D8905EO","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","008","00301002","25","25","False","","192575","201030000","D8850EY","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","009","00301002","10","10","False","","77030","201030000","D8501DT","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","010","00301002","20","20","False","","154060","201030000","D8502DT","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","011","00301002","25","25","False","","192575","603100100","0000","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","012","00302001","2","2","False","","50446,1333333333","200040000","F1148UL","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
"71","12-01-2017 00:00:00","09:17:05","A58201701-00108","A58201701-V00108","12-01-2017 00:00:00","","TEKNIK","","30","00","013","00302011","12","12","False","","345600","200040000","D1257ABU","0","","","untuk bahan bakar dan pelumas","16-01-2017 00:00:00","sutarja","","01",
