"kodeunit","tanggal","unsur","kodeafd","kodebud","norek","netral","kodebarang","qtyBrg_RKAP","qtyBrg_PMK","klsKary","jmlHK_RKAP","jmlHsl_RKAP","jmlKary_RKAP","nilai_RKAP","jmlHK_PMK","jmlHsl_PMK","jmlKary_PMK","nilai_PMK","kodeblok","thntnm","HaJelajah_RKAP","HaJelajah_PMK","KMK",
"10","18-07-2017 00:00:00","LL","10","02","601190204","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190205","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190211","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","601190215","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602140200","0200","","0","0","","0","0","0","26823539","0","0","0","27002439","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602190101","0200","","0","0","","0","0","0","630886","0","0","0","630886","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602190102","0200","","0","0","","0","0","0","171097","0","0","0","171097","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602190104","0200","","0","0","","0","0","0","1036337","0","0","0","1036337","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602190105","0200","","0","0","","0","0","0","115365","0","0","0","115365","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","LL","10","02","602190111","0200","","0","0","","0","0","0","0","0","0","0","0","0600","2009","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601030100","0200","","0","0","","0","0","0","20901","0","0","0","20688","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601030400","0200","","0","0","","0","0","0","0","0","0","0","1296319","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601040500","0200","","0","0","","0","0","0","0","0","0","0","0","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601050200","0200","","0","0","","0","0","0","1286295","0","0","0","1929549","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601060101","0200","","0","0","","0","0","0","791911","0","0","0","791911","0200","1999","0","0","01",
"10","18-07-2017 00:00:00","BB","11","02","601060102","0200","","0","0","","0","0","0","434026","0","0","0","434026","0200","1999","0","0","01",
