"Kodeunit","kdbeli","nofaktur","tglfaktur","tglkembali","jmlpak","jmlkg","nilai","mutasi","nilaibayar","Batal",
"29","L07084","FAK201809V00723","07/09/2018 0:00:00","16/11/2018 0:00:00","1800","90","7559996,4","0","0","",
"29","L07084","FAK201805V00304","16/05/2018 0:00:00","21/05/2018 0:00:00","8400","420","26879991,6","0","0","",
"29","L07084","FAK201804V00177","06/04/2018 0:00:00","09/04/2018 0:00:00","12000","600","53426398,08","0","0","",
"29","L07084","FAK201804V00176","06/04/2018 0:00:00","09/04/2018 0:00:00","9600","480","41645778,24","0","0","",
"29","L07084","FAK201803V00146","15/03/2018 0:00:00","16/03/2018 0:00:00","9600","480","33085404","0","0","",
"29","L07084","FAK201802V00080","02/02/2018 0:00:00","03/02/2018 0:00:00","4080","204","13430379,6","0","0","",
"29","LO7052","FAK201903V00187","27/03/2019 0:00:00","06/05/2019 0:00:00","144","6,48","2574000","0","0","",
"29","LO7052","FAK201902V00073","28/02/2019 0:00:00","02/04/2019 0:00:00","144","6,48","2574000","0","0","",
"29","L07071","FAK201812V01190","31/12/2018 0:00:00","10/01/2019 0:00:00","164","14,6","719661,67","0","0","",
"29","L07071","FAK201812V01118","12/12/2018 0:00:00","28/12/2018 0:00:00","48","2,16","529550,74","0","0","",
"29","L07071","FAK201812V01096","05/12/2018 0:00:00","27/12/2018 0:00:00","48","2,4","233081,38","0","0","",
"29","L07071","FAK201811V01010","14/11/2018 0:00:00","07/12/2019 0:00:00","72","7,2","358585,92","0","0","",
"29","L07071","FAK201810V00921","24/10/2018 0:00:00","19/12/2018 0:00:00","48","2,4","233081,38","0","0","",
"29","L07071","FAK201810V00922","24/10/2018 0:00:00","19/12/2018 0:00:00","48","2,4","233081,38","0","0","",
"29","L07071","FAK201810V00923","24/10/2018 0:00:00","17/12/2018 0:00:00","48","2,4","233081,38","0","0","",
"29","L07083","FAK201801V00079","31/01/2018 0:00:00","01/02/2018 0:00:00","2445","160,02","9849410,21","0","0","",
"29","L07083","FAK201801V00059","29/01/2018 0:00:00","30/01/2018 0:00:00","4640","316,4","34207999,76","0","0","",
