"Kodeunit","KodeMerk","TglInput","Waktu","NoInput","kdBeli","NoFaktur","TglFaktur","NoUrut","kd_produk","JmlPak","JmlKG","HrgSat","JmlNilai","norek","PPN","Keterangan","StatPPN","tglkom","namauser",
"29","290","01/09/2019 0:00:00","20:07:25","RTR201909V00021","L07118","FAK201812V01191","","001","8992829100021","2","0,0900","16488,3500","32976,70","130227118","3297,67","MEMO 039 - 328054","Y","25/09/2019 20:07:25","aldi",
"29","290","01/09/2019 0:00:00","20:11:04","RTR201909V00022","L00058","FAK201905V00358","","001","8992829100027","384","17,2800","12545,0000","4817280,00","130220058","481728","PENGEMBALIAN BARANG KEBUN JALUPANG 22 MEI 2019","Y","25/09/2019 20:11:04","aldi",
"29","290","01/09/2019 0:00:00","17:19:54","RTR201909V00001","L07272","FAK201901V00028","","001","8992829111156","4","1,0000","12918,0000","51672,00","130227272","5167,2","MEMO 036 - 999F06185","Y","25/09/2019 0:00:00","aldi",
"29","290","01/09/2019 0:00:00","17:19:54","RTR201909V00001","L07272","FAK201901V00028","","002","8992829110037","3","0,1500","5790,9100","17372,73","130227272","1737,273","MEMO 036 - 999F06185","Y","25/09/2019 0:00:00","aldi",
"29","290","01/09/2019 0:00:00","17:19:54","RTR201909V00001","L07272","FAK201901V00028","","003","8992829100016","3","0,1500","16838,3600","50515,08","130227272","5051,508","MEMO 036 - 999F06185","Y","25/09/2019 0:00:00","aldi",
"29","290","01/09/2019 0:00:00","17:19:54","RTR201909V00001","L07272","FAK201901V00028","","004","8992829100022","35","1,5750","20446,7200","715635,20","130227272","71563,52","MEMO 036 - 999F06185","Y","25/09/2019 0:00:00","aldi",
"29","290","01/09/2019 0:00:00","17:19:54","RTR201909V00001","L07272","FAK201901V00028","","005","8992829100024","123","5,5350","15034,1800","1849204,14","130227272","184920,414","MEMO 036 - 999F06185","Y","25/09/2019 0:00:00","aldi",
"29","290","01/09/2019 0:00:00","17:19:54","RTR201909V00001","L07272","FAK201901V00028","","006","8992829100019","76","3,4200","15034,1800","1142597,68","130227272","114259,768","MEMO 036 - 999F06185","Y","25/09/2019 0:00:00","aldi",
"29","290","01/09/2019 0:00:00","17:36:52","RTR201909V00002","L07118","FAK201811V00989","","001","8992829111156","1","0,2500","11225,0000","11225,00","130227118","1122,5","MEMO 040 - 320414","Y","25/09/2019 17:36:52","aldi",
"29","290","01/09/2019 0:00:00","17:41:12","RTR201909V00003","L07118","FAK201902V00076","","001","8992829100021","112","5,0400","9553,6400","1070007,68","130227118","107000,768","MEMO 040 - 320120","Y","25/09/2019 17:41:12","aldi",
"29","290","01/09/2019 0:00:00","17:47:39","RTR201909V00004","L07272","FAK201901V00028","","001","8992829111156","1","0,2500","12918,1700","12918,17","130227272","1291,817","MEMO 041 - 999F13175","Y","25/09/2019 17:47:39","aldi",
"29","290","01/09/2019 0:00:00","17:47:39","RTR201909V00004","L07272","FAK201901V00028","","002","8992829100016","24","1,2000","16838,3600","404120,64","130227272","40412,064","MEMO 041 - 999F13175","Y","25/09/2019 17:47:39","aldi",
"29","290","01/09/2019 0:00:00","17:47:39","RTR201909V00004","L07272","FAK201901V00028","","003","8992829100022","7","0,3150","20446,7200","143127,04","130227272","14312,704","MEMO 041 - 999F13175","Y","25/09/2019 17:47:39","aldi",
"29","290","01/09/2019 0:00:00","17:47:39","RTR201909V00004","L07272","FAK201901V00028","","004","8992829100024","39","1,7550","15034,1800","586333,02","130227272","58633,302","MEMO 041 - 999F13175","Y","25/09/2019 17:47:39","aldi",
"29","290","01/09/2019 0:00:00","17:47:39","RTR201909V00004","L07272","FAK201901V00028","","005","8992829100019","103","4,6350","15034,1800","1548520,54","130227272","154852,054","MEMO 041 - 999F13175","Y","25/09/2019 17:47:39","aldi",
"29","290","01/09/2019 0:00:00","18:02:15","RTR201909V00005","L07130","FAK201809V00835","","001","8992829100024","80","3,6000","14250,0000","1140000,00","130227130","114000","MEMO 042 - 11108","Y","25/09/2019 18:02:15","aldi",
"29","290","01/09/2019 0:00:00","18:02:15","RTR201909V00005","L07130","FAK201809V00835","","002","8992829100028","47","2,1150","14250,0000","669750,00","130227130","66975","MEMO 042 - 11108","Y","25/09/2019 18:02:15","aldi",
"29","290","01/09/2019 0:00:00","18:02:15","RTR201909V00005","L07130","FAK201809V00835","","003","8992829100022","126","5,6700","19380,0000","2441880,00","130227130","244188","MEMO 042 - 11108","Y","25/09/2019 18:02:15","aldi",
"29","290","01/09/2019 0:00:00","18:02:15","RTR201909V00005","L07130","FAK201809V00836","","004","8992829100020","171","7,6950","15960,0000","2729160,00","130227130","272916","MEMO 042 - 11108","Y","25/09/2019 18:02:15","aldi",
"29","290","01/09/2019 0:00:00","18:02:15","RTR201909V00005","L07130","FAK201809V00836","","005","8992829110037","128","6,4000","5181,8000","663270,40","130227130","66327,04","MEMO 042 - 11108","Y","25/09/2019 18:02:15","aldi",
"29","290","01/09/2019 0:00:00","18:02:15","RTR201909V00005","L07130","FAK201809V00836","","006","8992829111156","5","1,2500","11918,0000","59590,00","130227130","5959","MEMO 042 - 11108","Y","25/09/2019 18:02:15","aldi",
"29","290","01/09/2019 0:00:00","18:02:15","RTR201909V00005","L07130","FAK201809V00836","","007","8992829111145","2","0,2000","5181,5000","10363,00","130227130","1036,3","MEMO 042 - 11108","Y","25/09/2019 18:02:15","aldi",
"29","290","01/09/2019 0:00:00","19:11:43","RTR201909V00010","L07118","FAK201812V01191","","001","8992829111156","3","0,7500","11225,1900","33675,57","130227118","3367,557","MEMO 026 - 312399","Y","25/09/2019 19:11:43","aldi",
"29","290","01/09/2019 0:00:00","19:14:13","RTR201909V00011","L07118","FAK201812V01191","","001","8992829100002","1","0,0500","9553,6400","9553,64","130227118","955,364","MEMO 028 - 318576","Y","25/09/2019 19:14:13","aldi",
"29","290","01/09/2019 0:00:00","19:16:34","RTR201909V00012","L07118","FAK201812V01191","","001","8992829100020","5","0,2250","9431,7200","47158,60","130227118","4715,86","MEMO 029 - 319016","Y","25/09/2019 19:16:34","aldi",
"29","290","01/09/2019 0:00:00","19:16:34","RTR201909V00012","L07118","FAK201812V01191","","002","8992829111145","1","0,1000","4387,0000","4387,00","130227118","438,7","MEMO 029 - 319016","Y","25/09/2019 19:16:34","aldi",
