"KodeUnit","tanggal","kodebud","kodeafd","nobukti","norek","netral","uraian","dk","nilai",
"29","01/09/2019 0:00:00","02","02","RTR201909V00018","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00017","D","6904,54",
"29","01/09/2019 0:00:00","02","02","RTR201909V00018","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00017","D","1380,908",
"29","01/09/2019 0:00:00","02","02","RTR201909V00018","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00017","D","16250,168",
"29","01/09/2019 0:00:00","02","02","RTR201909V00018","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00017","D","65000,672",
"29","01/09/2019 0:00:00","02","02","RTR201909V00019","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201902V00078","D","3875,451",
"29","01/09/2019 0:00:00","02","02","RTR201909V00019","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201902V00078","D","1737,273",
"29","01/09/2019 0:00:00","02","02","RTR201909V00019","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201902V00078","D","15189,988",
"29","01/09/2019 0:00:00","02","02","RTR201909V00019","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201902V00078","D","4142,724",
"29","01/09/2019 0:00:00","02","02","RTR201909V00019","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201902V00078","D","310463,736",
"29","01/09/2019 0:00:00","02","02","RTR201909V00020","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201904V00276","D","255369,228",
"29","01/09/2019 0:00:00","02","02","RTR201909V00021","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201812V01191","D","3297,67",
"29","01/09/2019 0:00:00","02","02","RTR201909V00022","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201905V00358","D","481728",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00028","D","5167,2",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00028","D","1737,273",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00028","D","5051,508",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00028","D","71563,52",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00028","D","184920,414",
"29","01/09/2019 0:00:00","02","02","RTR201909V00001","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00028","D","114259,768",
"29","01/09/2019 0:00:00","02","02","RTR201909V00002","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201811V00989","D","1122,5",
"29","01/09/2019 0:00:00","02","02","RTR201909V00003","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201902V00076","D","107000,768",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00028","D","1291,817",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00028","D","40412,064",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00028","D","14312,704",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00028","D","58633,302",
"29","01/09/2019 0:00:00","02","02","RTR201909V00004","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201901V00028","D","154852,054",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201809V00835","D","114000",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201809V00835","D","66975",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201809V00835","D","244188",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201809V00836","D","272916",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201809V00836","D","66327,04",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201809V00836","D","5959",
"29","01/09/2019 0:00:00","02","02","RTR201909V00005","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201809V00836","D","1036,3",
"29","01/09/2019 0:00:00","02","02","RTR201909V00010","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201812V01191","D","3367,557",
"29","01/09/2019 0:00:00","02","02","RTR201909V00011","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201812V01191","D","955,364",
"29","01/09/2019 0:00:00","02","02","RTR201909V00012","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201812V01191","D","4715,86",
"29","01/09/2019 0:00:00","02","02","RTR201909V00012","161020000","","Retur Pajak Penjualan atas Faktur No.FAK201812V01191","D","438,7",
"29","01/09/2019 0:00:00","02","02","RTR201909V00022","820022900","","Retur 384 Dus Teh Leci Celup Walini Klasik Amplop- Dus 45 g (25 TB x 18 g) dari KOPERASI SWAKARYA PERKEBUNAN JALUPANG","D","4817280",
"29","01/09/2019 0:00:00","02","02","RTR201909V00008","820022900","","Retur 7 Dus Teh Hitam Celup DC Goalpara IHT-Dus 60 Dus (30 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","36169",
"29","01/09/2019 0:00:00","02","02","RTR201909V00007","820022900","","Retur 7 Dus Teh Hitam Celup DC Goalpara IHT-Dus 60 Dus (30 TB x 2 g) dari PT.MIDI UTAMA INDONESIA Tbk","D","36169",
