"kd_bud","kd_jnsprod","kd_kelompok","No_Produk","Varian","Jenis","Merk","Kd_Satuan","kd_kemasan","Berat","Ukuran","kd_Produk","Nm_Produk","kd_grade","Uraian","DusPerMC","BeratPerMC","Sts",
"02","0210","111","130","Hitam","Seduh","Goalpara IHT","25","15","50,00000","(240 x 50 g)","8992829111130","Teh Hitam Seduh Goalpara IHT-Bungkus 50 g (240 x 50 g)","11130","","240","12","Ya",
"02","0210","111","131","Hitam","Seduh","Goalpara IHT","25","15","100,00000","(120 x 100 g)","8992829111131","Teh Hitam Seduh Goalpara IHT-Bungkus 100 g (120 x 100 g)","11131","","120","12","Ya",
"02","0210","111","132","Hitam","Seduh","Goalpara IHT","25","15","250,00000","(48 x 250 g)","8992829111132","Teh Hitam Seduh Goalpara IHT-Bungkus 250 g (48 x 250 g)","11132","","48","12","Ya",
"02","0210","111","133","Hitam","Seduh","Goalpara IHT","01","15","1,00000","1 Kg","8992829111133","Teh Vanila Seduh Goalpara IHT-Plastik 10 Kg","11133","","1","1","Tidak",
"02","0210","111","134","Hitam","Seduh","Golapara 50 g","25","15","50,00000","(132 x 50 g)","8992829111134","Teh Hitam Seduh Goalpara 50 g-Bungkus 50 g (132 x 50 g)","11134","","132","6,6","Ya",
"02","0210","111","145","Hitam","Seduh","Golapara 100 g","25","15","100,00000","(72 x 100 g)","8992829111145","Teh Hitam Seduh Goalpara 100 g-Bungkus 100 g (72 x 100 g)","11145","","72","7,2","Ya",
"02","0210","111","156","Hitam","Seduh","Golapara 250 g","25","15","250,00000","(32 x 250 g)","8992829111156","Teh Hitam Seduh Goalpara 250 g-Bungkus 250 g (32 x 250 g)","11156","","32","8","Ya",
"02","0210","101","100","Hitam","Celup SC","Preanger","38","02","2,00000","","8992829101100","Teh Hitam Celup SC Preanger-Paper Sachet 2 g","10100","","500","1","Ya",
"02","0210","101","101","Hitam","Celup SC","Sheraton","38","02","2,00000","","8992829101101","Teh Hitam Celup SC Sheraton-Paper Sachet 2 g","10101","","500","1","Ya",
"02","0210","101","102","Jahe","Celup SC","Sheraton","38","02","2,00000","","8992829101102","Teh Jahe Celup SC Sheraton-Paper Sachet 2 g","10102","","500","1","Ya",
"02","0210","101","103","Lemon","Celup SC","Sheraton","38","02","2,00000","","8992829101103","Teh Lemon Celup SC Sheraton-Paper Sachet 2 g","10103","","500","1","Ya",
"02","0210","101","104","Organik","Celup SC","Sheraton","38","02","2,00000","","8992829101104","Teh Organik Celup SC Sheraton-Paper Sachet 2 g","10104","","500","1","Ya",
"02","0210","101","105","Hijau","Celup SC","Sheraton","38","02","2,00000","","8992829101105","Teh Hijau Celup SC Sheraton-Paper Sachet 2 g","10105","","500","1","Ya",
"02","0210","101","106","Mint","Celup SC","Sheraton","38","02","2,00000","","8992829101106","Teh Mint Celup SC Sheraton-Paper Sachet 2 g","10106","","500","1","Ya",
"02","0210","101","107","Leci","Celup SC","Sheraton","38","02","2,00000","","8992829101107","Teh Leci Celup SC Sheraton-Paper Sachet 2 g","10107","","500","1","Ya",
"02","0210","101","108","Apel","Celup SC","Sheraton","38","02","2,00000","","8992829101108","Teh Apel Celup SC Sheraton-Paper Sachet 2 g","10108","","500","1","Ya",
"02","0210","101","109","Wangi","Celup SC","Sheraton","38","02","2,00000","","8992829101109","Teh Wangi Celup SC Sheraton-Paper Sachet 2 g","10109","","500","1","Ya",
"02","0210","101","110","Kayu Manis","Celup SC","Sheraton","38","02","2,00000","","8992829101110","Teh Kayu Manis Celup SC Sheraton-Paper Sachet 2 g","10110","","500","1","Ya",
"02","0210","101","111","Blackcurrant","Celup SC","Sheraton","38","02","2,00000","","8992829101111","Teh Blackcurrant Celup SC Sheraton-Paper Sachet 2 g","10111","","500","1","Ya",
"02","0210","101","112","Vanila","Celup SC","Sheraton","38","02","2,00000","","8992829101112","Teh Vanila Celup SC Sheraton-Paper Sachet 2 g","10112","","500","1","Ya",
"02","0210","101","113","Earl Grey","Celup SC","Sheraton","38","02","2,00000","","8992829101113","Teh Earl Grey Celup SC Sheraton-Paper Sachet 2 g","10113","","500","1","Ya",
"02","0210","101","114","English Breakfast","Celup SC","Sheraton","38","02","2,00000","","8992829101114","Teh English Breakfast Celup SC Sheraton-Paper Sachet 2 g","10114","","500","1","Ya",
"02","0210","101","115","Hitam","Celup SC","Holiday Inn","38","02","2,00000","","8992829101115","Teh Hitam Celup SC Holiday Inn-Paper Sachet 2 g","10115","","500","1","Ya",
"02","0210","101","116","Hijau","Celup SC","Holiday Inn","38","02","2,00000","","8992829101116","Teh Hijau Celup SC Holiday Inn-Paper Sachet 2 g","10116","","500","1","Ya",
"02","0210","101","117","Hitam","Celup SC","Le Grandeur","38","02","2,00000","","8992829101117","Teh Hitam Celup SC Le Grandeur-Paper Sachet 2 g","10117","","500","1","Ya",
"02","0210","101","118","Hijau","Celup SC","Le Grandeur","38","02","2,00000","","8992829101118","Teh Hijau Celup SC Le Grandeur-Paper Sachet 2 g","10118","","500","1","Ya",
"02","0210","101","119","Hitam","Celup SC","Alila","38","02","2,00000","","8992829101119","Teh Hitam Celup SC Alila-Paper Sachet 2 g","10119","","500","1","Ya",
"02","0210","101","120","Hitam","Celup SC","Lembang Asri","38","02","2,00000","","8992829101120","Teh Hitam Celup SC Lembang Asri-Paper Sachet 2 g","10120","","500","1","Ya",
"02","0210","101","121","Jahe","Celup SC","Lembang Asri","38","02","2,00000","","8992829101121","Teh Jahe Celup SC Lembang Asri-Paper Sachet 2 g","10121","","500","1","Ya",
"02","0210","101","122","Hijau","Celup SC","Lembang Asri","38","02","2,00000","","8992829101122","Teh Hijau Celup SC Lembang Asri-Paper Sachet 2 g","10122","","500","1","Ya",
"02","0210","101","123","Hitam","Celup SC","Bird","38","02","2,00000","","8992829101123","Teh Hitam Celup SC Bird-Paper Sachet 2 g","10123","","500","1","Ya",
"02","0210","101","124","Hijau","Celup SC","Bird","38","02","2,00000","","8992829101124","Teh Hijau Celup SC Bird-Paper Sachet 2 g","10124","","500","1","Ya",
"02","0210","101","125","Hitam","Celup SC","Culture Royale","38","02","2,00000","","8992829101125","Teh Hitam Celup SC Culture Royale-Paper Sachet 2 g","10125","","500","1","Ya",
"02","0210","107","714","Wangi","Instan","Walini","38","16","180,00000","","8992829107714","Teh Wangi Instan Walini-Ples 180 g","10714","","0","0","Tidak",
"02","0210","101","126","Jahe","Celup SC","Culture Royale","38","02","2,00000","","8992829101126","Teh Jahe Celup SC Culture Royale-Paper Sachet 2 g","10126","","500","1","Ya",
"02","0210","101","127","Lemon","Celup SC","Culture Royale","38","02","2,00000","","8992829101127","Teh Lemon Celup SC Culture Royale-Paper Sachet 2 g","10127","","500","1","Ya",
"02","0210","101","128","Hijau","Celup SC","Culture Royale","38","02","2,00000","","8992829101128","Teh Hijau Celup SC Culture Royale-Paper Sachet 2 g","10128","","500","1","Ya",
"02","0210","101","129","Mint","Celup SC","Culture Royale","38","02","2,00000","","8992829101129","Teh Mint Celup SC Culture Royale-Paper Sachet 2 g","10129","","500","1","Ya",
"02","0210","101","130","Leci","Celup SC","Culture Royale","38","02","2,00000","","8992829101130","Teh Leci Celup SC Culture Royale-Paper Sachet 2 g","10130","","500","1","Ya",
"02","0210","101","131","Apel","Celup SC","Culture Royale","38","02","2,00000","","8992829101131","Teh Apel Celup SC Culture Royale-Paper Sachet 2 g","10131","","500","1","Ya",
"02","0210","101","132","Wangi","Celup SC","Culture Royale","38","02","2,00000","","8992829101132","Teh Wangi Celup SC Culture Royale-Paper Sachet 2 g","10132","","500","1","Ya",
"02","0210","101","133","Vanila","Celup SC","Culture Royale","38","02","2,00000","","8992829101133","Teh Vanila Celup SC Culture Royale-Paper Sachet 2 g","10133","","500","1","Ya",
"02","0210","101","134","Hitam","Celup SC","Bumi Sangkuriang","38","02","2,00000","","8992829101134","Teh Hitam Celup SC Bumi Sangkuriang-Paper Sachet 2 g","10134","","500","1","Ya",
"02","0210","101","135","Lemon","Celup SC","Bumi Sangkuriang","38","02","2,00000","","8992829101135","Teh Lemon Celup SC Bumi Sangkuriang-Paper Sachet 2 g","10135","","500","1","Ya",
"02","0210","101","136","Hijau","Celup SC","Bumi Sangkuriang","38","02","2,00000","","8992829101136","Teh Hijau Celup SC Bumi Sangkuriang-Paper Sachet 2 g","10136","","500","1","Ya",
"02","0210","101","137","Hitam","Celup SC","Intercontinental","38","02","2,00000","","8992829101137","Teh Hitam Celup SC Intercontinental-Paper Sachet 2 g","10137","","500","1","Ya",
"02","0210","101","138","Jahe","Celup SC","Intercontinental","38","02","2,00000","","8992829101138","Teh Jahe Celup SC Intercontinental-Paper Sachet 2 g","10138","","500","1","Ya",
"02","0210","101","139","Lemon","Celup SC","Intercontinental","38","02","2,00000","","8992829101139","Teh Lemon Celup SC Intercontinental-Paper Sachet 2 g","10139","","500","1","Ya",
"02","0210","101","140","Hijau","Celup SC","Intercontinental","38","02","2,00000","","8992829101140","Teh Hijau Celup SC Intercontinental-Paper Sachet 2 g","10140","","500","1","Ya",
"02","0210","101","141","Hitam","Celup SC","Garden Permata","38","02","2,00000","","8992829101141","Teh Hitam Celup SC Garden Permata-Paper Sachet 2 g","10141","","500","1","Ya",
"02","0210","101","142","Hijau","Celup SC","Garden Permata","38","02","2,00000","","8992829101142","Teh Hijau Celup SC Garden Permata-Paper Sachet 2 g","10142","","500","1","Ya",
"02","0210","101","143","Hitam","Celup SC","Crowne Plaza Jakarta","38","02","2,00000","","8992829101143","Teh Hitam Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g","10143","","500","1","Ya",
"02","0210","101","144","Jahe","Celup SC","Crowne Plaza Jakarta","38","02","2,00000","","8992829101144","Teh Jahe Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g","10144","","500","1","Ya",
"02","0210","101","145","Lemon","Celup SC","Crowne Plaza Jakarta","38","02","2,00000","","8992829101145","Teh Lemon Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g","10145","","500","1","Ya",
"02","0210","101","146","Hijau","Celup SC","Crowne Plaza Jakarta","38","02","2,00000","","8992829101146","Teh Hijau Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g","10146","","500","1","Ya",
"02","0210","101","147","Wangi","Celup SC","Crowne Plaza Jakarta","38","02","2,00000","","8992829101147","Teh Wangi Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g","10147","","500","1","Ya",
"02","0210","101","148","Earl Grey","Celup SC","Crowne Plaza Jakarta","38","02","2,00000","","8992829101148","Teh Earl Grey Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g","10148","","500","1","Ya",
"02","0210","101","149","English Breakfast","Celup SC","Crowne Plaza Jakarta","38","02","2,00000","","8992829101149","Teh English Breakfast Celup SC Crowne Plaza Jakarta-Paper Sachet 2 g","10149","","500","1","Ya",
"02","0210","101","150","Hitam","Celup SC","Panghegar","38","02","2,00000","","8992829101150","Teh Hitam Celup SC Panghegar-Paper Sachet 2 g","10150","","500","1","Ya",
"02","0210","101","151","Hitam","Celup SC","Lingga","38","02","2,00000","","8992829101151","Teh Hitam Celup SC Lingga-Paper Sachet 2 g","10151","","500","1","Ya",
"02","0210","101","152","Hitam","Celup SC","Bumi Asih","38","02","2,00000","","8992829101152","Teh Hitam Celup SC Bumi Asih-Paper Sachet 2 g","10152","","500","1","Ya",
"02","0210","101","153","Hitam","Celup SC","Gumilang Regency","38","02","2,00000","","8992829101153","Teh Hitam Celup SC Gumilang Regency-Paper Sachet 2 g","10153","","500","1","Ya",
"02","0210","101","154","Lemon","Celup SC","Gumilang Regency","38","02","2,00000","","8992829101154","Teh Lemon Celup SC Gumilang Regency-Paper Sachet 2 g","10154","","500","1","Ya",
"02","0210","101","155","Blackcurrant","Celup SC","Gumilang Regency","38","02","2,00000","","8992829101155","Teh Blackcurrant Celup SC Gumilang Regency-Paper Sachet 2 g","10155","","500","1","Ya",
"02","0210","101","156","Hitam","Celup SC","Walini Reguler","38","02","2,00000","","8992829101156","Teh Hitam Celup SC Walini Reguler-Paper Sachet 2 g","10156","","500","1","Ya",
"02","0210","101","157","Hijau","Celup SC","Walini Reguler","38","02","2,00000","","8992829101157","Teh Hijau Celup SC Walini Reguler-Paper Sachet 2 g","10157","","500","1","Ya",
"02","0210","101","158","Jahe","Celup SC","Walini Reguler","38","02","2,00000","","8992829101158","Teh Jahe Celup SC Walini Reguler-Paper Sachet 2 g","10158","","500","1","Ya",
"02","0210","101","159","Lemon","Celup SC","Walini Reguler","38","02","2,00000","","8992829101159","Teh Lemon Celup SC Walini Reguler-Paper Sachet 2 g","10159","","500","1","Ya",
"02","0210","101","160","Blackcurrant","Celup SC","Walini Reguler","38","02","2,00000","","8992829101160","Teh Blackcurrant Celup SC Walini Reguler-Paper Sachet 2 g","10160","","500","1","Ya",
"02","0210","101","161","Mint","Celup SC","Walini Reguler","38","02","2,00000","","8992829101161","Teh Mint Celup SC Walini Reguler-Paper Sachet 2 g","10161","","500","1","Ya",
"02","0210","101","162","Leci","Celup SC","Walini Reguler","38","02","2,00000","","8992829101162","Teh Leci Celup SC Walini Reguler-Paper Sachet 2 g","10162","","500","1","Ya",
"02","0210","107","715","Lemon","Instan","Walini","38","16","180,00000","","8992829107715","Teh Lemon Instan Walini-Ples 180 g","10715","","0","0","Tidak",
"02","0210","107","716","Apel","Instan","Walini","38","16","180,00000","","8992829107716","Teh Apel Instan Walini-Ples 180 g","10716","","0","0","Tidak",
"02","0210","107","717","Peach","Instan","Walini","38","16","180,00000","","8992829107717","Teh Peach Instan Walini-Ples 180 g","10717","","0","0","Tidak",
"02","0210","107","718","Jahe","Instan","Walini","38","16","180,00000","","8992829107718","Teh Jahe Instan Walini-Ples 180 g","10718","","0","0","Tidak",
"02","0210","107","719","Gingseng","Instan","Walini","38","16","180,00000","","8992829107719","Teh Gingseng Instan Walini-Ples 180 g","10719","","0","0","Tidak",
"02","0210","107","720","Jahe","Seduh","Walini","38","11","100,00000","","8992829107720","Teh Jahe Seduh Walini-Plastik 100 g","10720","","0","0","Tidak",
"02","0210","107","721","Lemon","Seduh","Walini","38","11","100,00000","","8992829107721","Teh Lemon Seduh Walini-Plastik 100 g","10721","10713","0","0","Tidak",
"02","0210","110","000","Hitam","Celup DC","Goalpara LMS","25","01","50,00000","(25 TB x 2 g)","8992829110000","Teh Hitam Celup DC Goalpara LMS-Dus 50 Dus (25 TB x 2 g)","11000","","0","0","Tidak",
"02","0210","110","001","Hijau","Celup DC","Goalpara LMS","25","01","50,00000","(25 TB x 2 g)","8992829110001","Teh Hijau Celup DC Goalpara LMS-Dus 50 Dus (25 TB x 2 g)","11001","","0","0","Tidak",
"02","0210","113","300","Hitam","Celup SC","Sedap M.A-25 MB (Melia Bali)","01","11","50,00000","(25 TB x 2 g)","8992829113300","Teh Hitam Celup SC Sedap M.A-25 MB (Melia Bali)-Plastik 50 Kg (25 TB x 2 g)","11300","","0","0","Tidak",
